Entry,Formula,Structure,A,B,INT_distAA,INT_distBB,INT_distAB,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_distAA_by2_byAsize,INT_distBB_by2_byBsize,INT_distAB_by2_byAsizebyBsize,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_distAA_minus_ref_diff,INT_distBB_minus_ref_diff,INT_distAB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency
1815331,CoSi,FeSi,Co,Si,2.735,2.754,2.312,1.25,1.176,1.063,1.094,1.171,0.953,1.368,0.944,0.094,-0.197,0.0,0.314,0.0,0.048,2.735,2.312,1.094,0.953,1.0,1.0,0.197,0.094,0.646,4,4,2,1,1,4,4,1,1,1.0,1.0,4,4,4.0,4.0,1.013,1.013,1.013,1.013,3,3,3.0,3.0,1.183,1.191,1.183,1.191,0,1,0.0,1.0,1,0,1.0,0.0,13.0,6.5,6.5,40.382,0.062,33.0,22.0,1.78,1.858,23.668,0.586,13.0,6.5,6.5,40.382,0.062,33.0,22.0,1.78,1.858,23.668,0.586,13.0,6.5,6.5,40.382,0.062,33.0,22.0,1.78,1.858,23.668,0.586
250979,ErNi,FeB-b,Er,Ni,3.519,2.431,2.794,1.734,1.246,1.392,1.015,0.976,0.938,1.578,1.216,-0.09,-0.024,0.103,0.0,0.0,0.009,2.431,2.794,0.976,0.938,1.0,1.0,0.09,0.024,0.615,4,4,2,1,1,4,4,1,2,1.0,2.0,6,2,6.0,2.0,1.011,1.149,1.011,1.149,1,1,1.0,1.0,1.259,1.0,1.259,1.0,0,0,0.0,0.0,1,2,1.0,2.0,13.0,8.5,4.5,78.11,0.078,33.0,22.0,2.21,2.266,48.839,0.617,13.0,8.5,4.5,78.11,0.078,33.0,22.0,2.21,2.266,48.839,0.617,13.0,8.5,4.5,78.11,0.078,33.0,22.0,2.21,2.266,48.839,0.617
1248169,CeGa,TlI,Ce,Ga,3.71,3.255,2.969,1.819,1.243,1.463,1.02,1.309,0.97,1.341,1.628,-0.263,0.309,0.277,0.0,0.0,0.165,3.255,2.969,1.309,0.97,1.0,1.0,0.309,0.263,0.515,4,4,2,1,1,4,4,1,1,1.0,1.0,5,5,5.0,5.0,1.046,1.046,1.046,1.046,4,4,4.0,4.0,1.25,1.096,1.25,1.096,0,1,0.0,1.0,1,0,1.0,0.0,13.0,8.5,4.5,109.331,0.381,33.0,22.0,2.367,2.524,63.794,0.532,13.0,8.5,4.5,109.331,0.381,33.0,22.0,2.367,2.524,63.794,0.532,13.0,8.5,4.5,109.331,0.381,33.0,22.0,2.367,2.524,63.794,0.532
1818832,TmSb,NaCl,Tm,Sb,4.317,4.317,3.053,1.726,1.434,1.204,1.251,1.505,0.966,2.158,0.894,0.251,-0.376,0.0,0.586,0.0,0.204,4.317,3.053,1.251,0.966,1.0,1.0,0.376,0.251,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,94.852,0.0,18.75,12.5,2.308,2.494,66.686,0.654,6.0,3.0,3.0,37.939,0.0,12.0,8.0,1.762,2.158,22.936,0.605,6.0,9.0,3.0,113.823,0.0,21.0,14.0,2.49,2.606,81.269,0.67
525429,YbSb,NaCl,Yb,Sb,4.298,4.298,3.039,1.939,1.434,1.352,1.108,1.499,0.901,2.149,0.89,0.108,-0.379,0.0,0.586,0.0,0.156,4.298,3.039,1.108,0.901,1.0,1.0,0.379,0.108,0.793,4,4,2,1,1,4,4,2,3,2.0,3.0,6,6,6.0,6.0,1.0,1.0,1.0,1.0,4,3,4.0,3.0,1.414,1.414,1.414,1.414,0,3,0.0,3.0,2,0,2.0,0.0,10.5,7.5,3.0,93.581,0.0,18.75,12.5,2.297,2.483,65.764,0.654,6.0,3.0,3.0,37.432,0.0,12.0,8.0,1.754,2.149,22.607,0.604,6.0,9.0,3.0,112.298,0.0,21.0,14.0,2.478,2.594,80.149,0.67
261024,HoSb,NaCl,Ho,Sb,4.335,4.335,3.065,1.745,1.434,1.217,1.242,1.512,0.964,2.168,0.897,0.242,-0.374,0.0,0.586,0.0,0.199,4.335,3.065,1.242,0.964,1.0,1.0,0.374,0.242,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,95.978,0.0,18.75,12.5,2.318,2.504,67.479,0.654,6.0,3.0,3.0,38.391,0.0,12.0,8.0,1.77,2.167,23.211,0.605,6.0,9.0,3.0,115.173,0.0,21.0,14.0,2.5,2.616,82.235,0.67
533539,CoGa,CsCl,Co,Ga,2.883,2.883,2.497,1.25,1.243,1.006,1.153,1.16,1.002,1.442,1.055,0.153,-0.151,0.0,0.268,0.0,0.046,2.883,2.497,1.153,1.002,1.0,1.0,0.153,0.151,0.729,1,1,2,1,1,1,1,8,8,8.0,8.0,8,8,8.0,8.0,1.155,1.155,1.155,1.155,6,6,6.0,6.0,1.155,1.155,1.155,1.155,0,8,0.0,8.0,8,0,8.0,0.0,14.0,7.0,7.0,47.95,0.0,36.0,24.0,2.122,2.039,40.03,0.834,14.0,7.0,7.0,47.95,0.0,36.0,24.0,2.122,2.039,40.03,0.834,14.0,7.0,7.0,47.95,0.0,36.0,24.0,2.122,2.039,40.03,0.834
528119,NdPt,FeB-b,Nd,Pt,3.739,2.647,2.902,1.813,1.387,1.307,1.031,0.954,0.907,1.578,1.324,-0.129,-0.046,0.156,0.0,0.0,0.019,2.647,2.902,0.954,0.907,1.0,1.0,0.129,0.046,0.56,4,4,2,1,1,4,4,1,2,1.0,2.0,2,2,2.0,2.0,1.014,1.096,1.014,1.096,1,1,1.0,1.0,1.288,1.0,1.288,1.0,0,0,0.0,0.0,1,2,1.0,2.0,12.75,8.25,4.5,90.437,0.082,32.25,21.5,2.286,2.331,54.234,0.586,12.0,7.5,4.5,81.105,0.08,30.0,20.0,2.149,2.222,42.998,0.538,12.0,8.5,4.5,93.548,0.086,33.0,22.0,2.332,2.367,57.98,0.602
525415,YbSb,NaCl,Yb,Sb,4.299,4.299,3.04,1.939,1.434,1.352,1.109,1.499,0.901,2.15,0.89,0.109,-0.379,0.0,0.586,0.0,0.155,4.299,3.04,1.109,0.901,1.0,1.0,0.379,0.109,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,93.648,0.0,18.75,12.5,2.298,2.484,65.842,0.654,6.0,3.0,3.0,37.459,0.0,12.0,8.0,1.755,2.15,22.648,0.605,6.0,9.0,3.0,112.378,0.0,21.0,14.0,2.48,2.595,80.239,0.67
261018,PrSb,NaCl,Pr,Sb,4.498,4.498,3.18,1.82,1.434,1.269,1.236,1.568,0.977,2.249,0.931,0.236,-0.351,0.0,0.586,0.0,0.179,4.498,3.18,1.236,0.977,1.0,1.0,0.351,0.236,0.793,4,4,2,1,1,4,4,6,6,6.0,6.0,6,6,6.0,6.0,1.414,1.414,1.414,1.414,12,12,12.0,12.0,1.414,1.414,1.414,1.414,0,6,0.0,6.0,6,0,6.0,0.0,10.5,7.5,3.0,107.236,0.0,18.75,12.5,2.404,2.598,75.354,0.654,6.0,3.0,3.0,42.894,0.0,12.0,8.0,1.836,2.248,25.919,0.604,6.0,9.0,3.0,128.684,0.0,21.0,14.0,2.594,2.714,91.832,0.67
