Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Pauling scale),Ionic character (Martynov-Batsanov scale),Ionic character (Gordy scale),Ionic character (Mulliken scale),Ionic character (Allred-Rochow scale),Sum of valence electrons,Mean number of electrons,Atomic number sum,Atomic number difference,Mean atomic number,Atomic weight sum,Atomic weight difference,Mean atomic weight,Atomic radius sum,Mean atomic radius,Atomic radius ratio,2 x atomic radius difference,Covalent radius sum,Mean Covalent radius,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum,Mean Zunger radius sum,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius sum,Mean ionic radius,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Mean crystal radius,Crystal radius ratio,2 x Crystal radius difference,Period number sum,Mean period number,Period number difference,Group number sum,Mean group number,Group number difference,Family number sum,Mean family number,Family number difference,Quantum number (l) sum,Mean quantum number (l) mean,Quantum number (l) difference
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.112214394,0.086068815,0.040410423,0.002496878,0.104961907,6,3,89,27,44.5,209.838,70.392,104.919,3.15,1.575,1.423076923,6.3,2.91,1.455,1.30952381,5.82,6.195,3.0975,2.654867257,5.61,2.805,3.15,1.575,1.423076923,1.1,1.91,0.955,1.513157895,0.78,10,5,2,16,8,-10,8,4,-2,4,2,2
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.144462198,0.103179905,0.218982813,0.344593746,0.144462198,13,6.5,86,30,43,198.8084,81.4216,99.4042,3.2,1.6,1.37037037,6.4,2.8,1.4,1.434782609,5.6,6.68,3.34,2.064220183,4.64,2.32,3.2,1.6,1.37037037,1,1.85,0.925,1.642857143,0.9,10,5,2,13,6.5,-7,7,3.5,-1,5,2.5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.144462198,0.103179905,0.218982813,0.344593746,0.144462198,13,6.5,86,30,43,198.8084,81.4216,99.4042,3.2,1.6,1.37037037,6.4,2.8,1.4,1.434782609,5.6,6.68,3.34,2.064220183,4.64,2.32,3.2,1.6,1.37037037,1,1.85,0.925,1.642857143,0.9,10,5,2,13,6.5,-7,7,3.5,-1,5,2.5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.144462198,0.103179905,0.218982813,0.344593746,0.144462198,13,6.5,86,30,43,198.8084,81.4216,99.4042,3.2,1.6,1.37037037,6.4,2.8,1.4,1.434782609,5.6,6.68,3.34,2.064220183,4.64,2.32,3.2,1.6,1.37037037,1,1.85,0.925,1.642857143,0.9,10,5,2,13,6.5,-7,7,3.5,-1,5,2.5,1
