Formula,Structure type,Stoichiometry_A,Stoichiometry_B,Electronegativity difference (Pauling scale),Electronegativity difference (Martynov-Batsanov scale),Electronegativity difference (Gordy scale),Electronegativity difference (Mulliken scale),Electronegativity difference (Allred-Rochow scale),Mean electronegativity (Pauling scale),Mean electronegativity (Martynov-Batsanov scale),Mean electronegativity (Gordy scale),Mean electronegativity (Mulliken scale),Mean electronegativity (Allred-Rochow scale),Ionic character (Martynov-Batsanov scale),Sum of valence electrons,Atomic number sum,Atomic weight sum,Atomic radius sum,Atomic radius ratio,Covalent radius sum,Covalent radius ratio,2 x covalent radius difference,Zunger radius sum ratio,2 x Zunger radius sum difference,Zunger radius sum difference,Ionic radius ratio,2 x Ionic radius difference,Crystal radius sum,Crystal radius ratio,2 x Crystal radius difference,Period number difference,Group number sum,Group number difference,Family number sum,Quantum number (l) sum,Quantum number (l) difference
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeGa,TlI,1,1,-0.69,-0.6,0.4062,-0.1,-0.666,3.15,1.4,4.3703,3.15,1.423,0.086068815,6,89,209.838,3.15,1.423076923,2.91,1.30952381,5.82,2.654867257,5.61,2.805,1.423076923,1.1,1.91,1.513157895,0.78,2,16,-10,8,4,2
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
CeNi,TlI,1,1,-0.79,-0.66,0.9943,-1.3,-0.79,3.75,1.43,4.07625,3.75,1.485,0.103179905,13,86,198.8084,3.2,1.37037037,2.8,1.434782609,5.6,2.064220183,4.64,2.32,1.37037037,1,1.85,1.642857143,0.9,2,13,-7,7,5,1
