,Component_1 (20.953%),Component_2 (14.119%),Component_3 (4.187%),Component_4 (6.671%),Component_5 (4.057%),Component_6 (1.391%),Component_7 (3.200%),Component_8 (3.035%),Component_9 (2.265%),Component_10 (1.256%)
index_A,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
index_B,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
normalized_index_A,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
normalized_index_B,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
largest_index,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
smallest_index,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
avg_index,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
atomic_weight_weighted_A+B,-0.079,0.024,0.109,0.019,0.044,0.041,0.03,0.204,-0.07,0.006
atomic_weight_A/B,-0.021,-0.037,0.057,0.224,0.059,-0.078,-0.005,0.063,-0.087,-0.011
atomic_weight_A-B,-0.065,-0.039,0.088,0.148,-0.032,-0.018,0.003,0.151,-0.081,0.002
period_A,-0.086,0.055,0.09,0.043,0.056,-0.003,0.058,0.159,-0.06,-0.005
period_B,0.005,0.104,-0.034,-0.169,0.101,0.04,0.018,0.032,0.042,0.022
group_A,0.011,-0.197,0.065,-0.113,0.03,-0.039,-0.073,-0.012,0.007,0.093
group_B,-0.133,-0.161,-0.068,0.05,0.007,0.091,0.064,-0.049,-0.045,0.04
group_A-B,0.093,-0.098,0.107,-0.144,0.026,-0.096,-0.113,0.019,0.035,0.069
Mendeleev_number_A,0.032,-0.148,0.002,-0.07,0.014,0.023,-0.043,-0.009,-0.038,-0.007
Mendeleev_number_B,-0.134,-0.15,-0.079,0.039,0.03,0.1,0.059,-0.043,-0.036,0.044
Mendeleev_number_A-B,0.097,-0.081,0.04,-0.091,0.0,-0.024,-0.072,0.011,-0.021,-0.028
valencee_total_A,-0.006,0.024,-0.082,0.017,-0.011,0.108,0.026,-0.05,-0.163,-0.152
valencee_total_B,-0.104,-0.005,-0.024,-0.194,-0.03,0.031,0.188,-0.1,-0.121,-0.036
valencee_total_A-B,0.078,0.021,-0.039,0.165,0.016,0.052,-0.13,0.043,-0.019,-0.078
valencee_total_A+B,-0.078,0.011,-0.068,-0.127,-0.028,0.09,0.15,-0.103,-0.189,-0.122
valencee_total_weighted_A+B,-0.006,0.024,-0.082,0.017,-0.011,0.108,0.026,-0.05,-0.163,-0.152
valencee_total_weighted_norm_A+B,-0.006,0.024,-0.082,0.017,-0.011,0.108,0.026,-0.05,-0.163,-0.152
unpaired_electrons_A,-0.01,-0.022,0.058,0.036,-0.049,0.005,0.315,-0.013,0.24,0.071
unpaired_electrons_B,-0.069,-0.035,-0.127,0.1,0.184,0.09,-0.066,-0.001,0.004,-0.057
unpaired_electrons_A-B,0.016,-0.007,0.097,-0.004,-0.11,-0.028,0.305,-0.011,0.212,0.083
unpaired_electrons_A+B,-0.037,-0.035,0.007,0.074,0.025,0.04,0.279,-0.012,0.234,0.046
unpaired_electrons_weighted_A+B,-0.01,-0.022,0.058,0.036,-0.049,0.005,0.315,-0.013,0.24,0.071
unpaired_electrons_weighted_norm_A+B,-0.01,-0.022,0.058,0.036,-0.049,0.005,0.315,-0.013,0.24,0.071
Gilman_A,0.065,-0.065,-0.059,0.074,0.046,-0.009,0.027,0.114,0.18,-0.146
Gilman_B,-0.091,-0.074,-0.114,0.081,0.177,0.136,-0.056,0.016,0.048,0.031
Gilman_A-B,0.108,-0.008,0.02,0.012,-0.069,-0.09,0.057,0.084,0.119,-0.139
Gilman_A+B,-0.002,-0.094,-0.113,0.106,0.14,0.072,-0.011,0.099,0.171,-0.097
Gilman_weighted_A+B,0.065,-0.065,-0.059,0.074,0.046,-0.009,0.027,0.114,0.18,-0.146
Gilman_weighted_norm_A+B,0.065,-0.065,-0.059,0.074,0.046,-0.009,0.027,0.114,0.18,-0.146
Z_eff_A,-0.044,0.019,0.103,0.035,0.039,0.048,0.083,0.214,-0.079,-0.013
Z_eff_B,-0.003,0.071,-0.008,-0.153,0.128,0.087,0.014,0.002,0.034,-0.017
Z_eff_A-B,-0.024,-0.049,0.067,0.149,-0.085,-0.045,0.037,0.124,-0.075,0.007
Z_eff_A/B,-0.015,-0.059,0.081,0.16,-0.069,-0.058,0.03,0.106,-0.079,-0.015
Z_eff_max,-0.036,-0.025,0.2,-0.143,0.052,0.104,0.008,0.174,-0.013,0.042
Z_eff_min,-0.013,0.136,-0.098,-0.042,0.159,0.066,0.089,0.043,-0.017,-0.074
Z_eff_avg,-0.027,0.067,0.05,-0.103,0.124,0.096,0.057,0.12,-0.017,-0.021
Z_eff_weighted_norm_A+B,-0.045,0.019,0.103,0.034,0.039,0.048,0.083,0.214,-0.079,-0.013
ionization_energy_A,0.134,-0.066,-0.063,-0.028,-0.058,0.098,0.002,0.053,-0.011,0.01
ionization_energy_B,-0.032,-0.1,0.139,-0.02,0.134,0.252,-0.063,-0.058,0.061,-0.005
ionization_energy_A-B,0.124,0.012,-0.136,-0.009,-0.13,-0.084,0.042,0.078,-0.047,0.011
ionization_energy_A/B,0.129,0.03,-0.171,0.006,-0.091,-0.122,0.076,0.049,-0.073,-0.016
ionization_energy_max,0.02,-0.044,0.004,0.051,0.258,0.077,0.09,-0.14,-0.071,-0.031
ionization_energy_min,0.104,-0.129,0.054,-0.091,-0.155,0.278,-0.129,0.121,0.102,0.032
ionization_energy_avg,0.083,-0.114,0.04,-0.034,0.04,0.235,-0.038,0.004,0.03,0.005
ionization_energy_weighted_norm_A+B,0.134,-0.066,-0.063,-0.028,-0.058,0.098,0.003,0.053,-0.011,0.01
coordination_number_A,0.098,0.061,-0.074,0.059,-0.12,0.165,0.073,-0.018,0.014,-0.286
coordination_number_B,0.112,0.214,-0.054,-0.056,0.074,-0.134,-0.08,0.096,0.066,-0.033
coordination_number_A-B,-0.074,-0.18,0.027,0.071,-0.107,0.178,0.098,-0.096,-0.057,-0.06
ratio_closest_A,0.11,0.061,-0.112,0.029,-0.058,0.166,-0.009,0.054,-0.133,0.124
ratio_closest_B,0.082,-0.018,0.167,0.097,0.065,0.057,0.056,-0.164,-0.03,0.048
ratio_closest_max,0.107,-0.031,0.183,0.003,-0.082,0.124,0.026,-0.098,-0.099,0.033
ratio_closest_min,0.115,0.072,-0.081,0.177,0.138,0.115,0.045,-0.079,-0.069,0.167
ratio_closest_avg,0.127,0.019,0.072,0.095,0.021,0.138,0.04,-0.103,-0.098,0.108
polyhedron_distortion_A,-0.005,0.118,-0.078,0.026,-0.008,0.031,0.01,0.012,-0.106,0.36
polyhedron_distortion_B,0.121,0.039,0.121,0.097,-0.008,-0.054,0.053,-0.107,-0.025,0.083
polyhedron_distortion_max,0.111,0.106,-0.017,0.05,-0.148,0.181,0.054,-0.064,-0.071,0.028
polyhedron_distortion_min,0.076,0.091,0.072,0.1,0.047,-0.107,0.041,-0.075,-0.081,0.36
polyhedron_distortion_avg,0.098,0.108,0.054,0.097,-0.012,-0.025,0.051,-0.082,-0.088,0.3
CIF_radius_A,-0.096,0.116,0.043,0.031,-0.029,0.041,0.002,0.014,-0.035,0.033
CIF_radius_B,-0.006,0.134,-0.221,-0.036,0.197,-0.029,-0.068,0.146,0.121,0.189
CIF_radius_A/B,-0.089,0.026,0.165,0.037,-0.136,0.058,0.017,-0.039,-0.076,-0.019
CIF_radius_A-B,-0.087,0.048,0.139,0.045,-0.115,0.051,0.032,-0.052,-0.086,-0.054
CIF_radius_avg,-0.086,0.157,-0.055,0.012,0.057,0.023,-0.026,0.073,0.02,0.107
CIF_radius_weighted_norm_A+B,-0.096,0.116,0.043,0.03,-0.029,0.041,0.002,0.014,-0.035,0.033
Pauling_radius_CN12_A,-0.111,0.097,0.062,0.024,-0.01,0.014,0.007,0.009,-0.029,0.02
Pauling_radius_CN12_B,-0.079,0.022,-0.204,-0.033,0.131,0.026,-0.024,0.106,0.073,0.145
Pauling_radius_CN12_A/B,-0.06,0.062,0.178,0.018,-0.093,0.019,-0.018,-0.009,-0.035,-0.002
Pauling_radius_CN12_A-B,-0.061,0.075,0.152,0.036,-0.072,0.0,0.018,-0.042,-0.061,-0.052
Pauling_radius_CN12_avg,-0.135,0.095,-0.041,0.005,0.053,0.025,-0.005,0.058,0.009,0.086
Pauling_radius_CN12_weighted_norm_A+B,-0.111,0.097,0.063,0.023,-0.01,0.014,0.007,0.01,-0.029,0.021
Pauling_EN_A,0.081,-0.138,-0.011,-0.059,0.025,-0.019,0.013,0.001,-0.05,0.047
Pauling_EN_B,0.034,0.047,0.098,-0.11,0.132,0.128,0.025,-0.057,0.051,-0.004
Pauling_EN_A-B,0.062,-0.141,-0.043,-0.017,-0.022,-0.061,0.004,0.02,-0.062,0.044
Pauling_EN_A/B,0.075,-0.132,-0.046,-0.019,0.002,-0.06,0.009,0.017,-0.056,0.055
Pauling_EN_max,0.08,0.057,0.01,-0.049,0.219,-0.002,0.126,-0.05,-0.062,0.07
Pauling_EN_min,0.07,-0.163,0.024,-0.091,-0.015,0.033,-0.031,-0.0,-0.007,0.02
Pauling_EN_avg,0.091,-0.117,0.024,-0.097,0.072,0.027,0.022,-0.02,-0.03,0.045
Pauling_EN_weighted_norm_A+B,0.081,-0.138,-0.011,-0.059,0.025,-0.019,0.013,0.001,-0.05,0.047
Martynov_Batsanov_EN_A,0.078,-0.134,-0.007,-0.076,0.031,-0.053,-0.003,-0.03,-0.065,0.047
Martynov_Batsanov_EN_B,-0.087,-0.114,0.025,0.021,0.15,0.212,-0.016,-0.051,0.047,0.027
Martynov_Batsanov_EN_A-B,0.115,-0.069,-0.019,-0.08,-0.043,-0.151,0.005,-0.003,-0.083,0.031
Martynov_Batsanov_EN_A/B,0.115,-0.064,-0.058,-0.054,0.006,-0.165,0.035,-0.033,-0.098,0.025
Martynov_Batsanov_EN_max,-0.066,-0.082,-0.047,0.052,0.197,0.144,0.005,-0.046,0.042,0.118
Martynov_Batsanov_EN_min,0.069,-0.158,0.031,-0.095,0.01,-0.016,-0.014,-0.035,-0.064,0.002
Martynov_Batsanov_EN_avg,0.028,-0.164,0.005,-0.055,0.092,0.048,-0.01,-0.048,-0.034,0.052
Martynov_Batsanov_EN_weighted_norm_A+B,0.078,-0.134,-0.007,-0.076,0.031,-0.053,-0.003,-0.03,-0.065,0.047
melting_point_K_A,0.152,0.098,-0.116,0.049,-0.129,0.198,0.073,0.099,-0.041,0.025
melting_point_K_B,0.122,0.061,0.107,0.099,0.123,0.031,-0.08,-0.047,0.052,-0.053
melting_point_K_A-B,-0.002,0.014,-0.171,-0.053,-0.193,0.107,0.118,0.108,-0.072,0.063
melting_point_K_A/B,-0.0,0.04,-0.125,-0.101,-0.221,-0.027,0.058,0.136,-0.045,0.007
melting_point_K_max,0.17,0.098,-0.0,-0.005,-0.083,0.192,-0.098,0.216,0.08,0.137
melting_point_K_min,0.142,0.08,0.018,0.158,0.087,0.064,0.049,-0.128,-0.038,-0.139
melting_point_K_avg,0.176,0.1,0.012,0.1,0.016,0.135,-0.016,0.022,0.014,-0.024
melting_point_K_weighted_norm_A+B,0.152,0.098,-0.116,0.049,-0.129,0.198,0.073,0.099,-0.041,0.025
density_A,0.037,-0.079,0.046,0.007,0.094,-0.018,0.113,0.168,-0.143,-0.041
density_B,0.078,0.12,0.09,-0.175,0.036,0.025,0.005,0.002,0.03,-0.056
density_A-B,-0.042,-0.14,-0.047,0.144,0.024,-0.03,0.06,0.093,-0.104,0.022
density_A/B,0.033,-0.101,-0.028,0.214,0.103,-0.062,0.027,0.071,-0.065,0.022
density_max,0.111,0.034,0.097,-0.083,0.11,-0.012,0.101,0.052,-0.099,-0.08
density_min,0.0,0.068,0.066,-0.19,-0.001,0.05,-0.022,0.148,0.047,-0.02
density_avg,0.087,0.054,0.102,-0.142,0.085,0.01,0.07,0.1,-0.059,-0.071
density_weighted_norm_A+B,0.037,-0.079,0.046,0.007,0.094,-0.018,0.113,0.168,-0.143,-0.041
specific_heat_A,0.092,-0.023,-0.084,-0.037,-0.081,0.018,-0.036,-0.161,0.108,0.042
specific_heat_B,0.03,-0.077,0.021,0.197,-0.051,-0.03,-0.113,0.041,0.035,0.006
specific_heat_A-B,0.025,0.06,-0.069,-0.21,0.002,0.039,0.087,-0.133,0.03,0.019
specific_heat_A/B,0.068,0.056,-0.064,-0.14,0.054,-0.004,0.095,-0.202,0.009,-0.041
specific_heat_max,0.06,-0.07,0.009,0.152,-0.059,-0.02,-0.11,-0.021,0.048,0.023
specific_heat_min,0.062,-0.051,-0.08,0.064,-0.094,-0.0,-0.065,-0.077,0.115,0.019
specific_heat_avg,0.067,-0.07,-0.023,0.136,-0.078,-0.015,-0.105,-0.044,0.078,0.024
specific_heat_weighted_norm_A+B,0.092,-0.023,-0.084,-0.037,-0.081,0.018,-0.036,-0.161,0.108,0.042
cohesive_energy_A,0.074,-0.072,0.079,-0.015,0.045,-0.058,0.096,0.096,-0.04,0.009
