Formula,index_A,index_B,normalized_index_A,normalized_index_B,largest_index,smallest_index,avg_index,atomic_weight_weighted_A+B,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_weighted_A+B,valencee_total_weighted_norm_A+B,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_weighted_A+B,unpaired_electrons_weighted_norm_A+B,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_weighted_A+B,Gilman_weighted_norm_A+B,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_weighted_norm_A+B,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_weighted_norm_A+B,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A/B,CIF_radius_A-B,CIF_radius_avg,CIF_radius_weighted_norm_A+B,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_avg,Pauling_radius_CN12_weighted_norm_A+B,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_weighted_norm_A+B,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_weighted_norm_A+B,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_weighted_norm_A+B,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_weighted_norm_A+B,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_weighted_norm_A+B,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_weighted_norm_A+B,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_weighted_norm_A+B
CoSi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,58.933,2.098,30.848,4.0,3.0,9.0,14.0,-5.0,58.0,78.0,-20.0,9.0,4.0,5.0,13.0,9.0,4.5,3.0,2.0,1.0,5.0,3.0,1.5,4.0,4.0,0.0,8.0,4.0,2.0,3.046,2.321,0.725,1.312,3.046,2.321,2.684,1.523,7.881,8.152,-0.271,0.967,8.152,7.881,8.016,3.94,12.0,4.0,8.0,0.5,1.0,1.0,0.5,0.75,0.996,1.0,1.0,0.996,0.998,1.25,1.176,1.063,0.074,1.213,0.625,1.252,1.316,0.951,-0.064,1.284,0.626,1.88,1.9,-0.02,0.989,1.9,1.88,1.89,0.94,1.72,1.98,-0.26,0.869,1.98,1.72,1.85,0.86,1768.15,1683.15,85.0,1.051,1768.15,1683.15,1725.65,884.075,8.9,2.33,6.57,3.82,8.9,2.33,5.615,4.45,0.42,0.71,-0.29,0.592,0.71,0.42,0.565,0.21,4.39,4.63,-0.24,0.948,4.63,4.39,4.51,2.195,182.0,98.0,84.0,1.857,182.0,98.0,140.0,91.0
ErNi,1.0,1.0,0.5,0.5,1.0,1.0,1.0,167.259,2.85,108.566,6.0,4.0,3.0,10.0,-7.0,35.0,61.0,-26.0,14.0,10.0,4.0,24.0,14.0,7.0,2.0,2.0,0.0,4.0,2.0,1.0,3.0,3.0,0.0,6.0,3.0,1.5,4.018,2.996,1.022,1.341,4.018,2.996,3.507,2.009,6.108,7.64,-1.532,0.799,7.64,6.108,6.874,3.054,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.974,1.0,1.0,0.974,0.987,1.734,1.246,1.392,0.488,1.49,0.867,1.748,1.244,1.405,0.504,1.496,0.874,1.24,1.91,-0.67,0.649,1.91,1.24,1.575,0.62,1.2,1.76,-0.56,0.682,1.76,1.2,1.48,0.6,1802.15,1726.15,76.0,1.044,1802.15,1726.15,1764.15,901.075,9.07,8.9,0.17,1.019,9.07,8.9,8.985,4.535,0.17,0.44,-0.27,0.386,0.44,0.17,0.305,0.085,3.29,4.44,-1.15,0.741,4.44,3.29,3.865,1.645,44.4,177.0,-132.6,0.251,177.0,44.4,110.7,22.2
CeGa,1.0,1.0,0.5,0.5,1.0,1.0,1.0,140.115,2.01,70.392,6.0,4.0,3.0,13.0,-10.0,15.0,74.0,-59.0,4.0,13.0,-9.0,17.0,4.0,2.0,1.0,1.0,0.0,2.0,1.0,0.5,3.0,3.0,0.0,6.0,3.0,1.5,3.774,2.655,1.119,1.421,3.774,2.655,3.214,1.887,5.539,5.999,-0.461,0.923,5.999,5.539,5.769,2.769,12.0,7.0,5.0,0.5,0.143,0.5,0.143,0.321,0.99,0.897,0.99,0.897,0.944,1.819,1.243,1.463,0.576,1.531,0.91,1.818,1.408,1.291,0.41,1.613,0.909,1.12,1.81,-0.69,0.619,1.81,1.12,1.465,0.56,1.1,1.7,-0.6,0.647,1.7,1.1,1.4,0.55,1071.15,302.95,768.2,3.536,1071.15,302.95,687.05,535.575,6.66,5.9,0.76,1.129,6.66,5.9,6.28,3.33,0.19,0.37,-0.18,0.514,0.37,0.19,0.28,0.095,4.32,2.81,1.51,1.537,4.32,2.81,3.565,2.16,21.5,56.9,-35.4,0.378,56.9,21.5,39.2,10.75
TmSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,168.934,1.387,47.174,6.0,5.0,3.0,15.0,-12.0,37.0,85.0,-48.0,15.0,15.0,0.0,30.0,15.0,7.5,1.0,3.0,-2.0,4.0,1.0,0.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.921,3.984,-0.063,0.984,3.984,3.921,3.952,1.96,6.184,8.608,-2.424,0.718,8.608,6.184,7.396,3.092,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.974,0.868,0.974,0.868,0.921,1.726,1.434,1.204,0.292,1.58,0.863,1.743,1.59,1.096,0.153,1.666,0.872,1.25,2.05,-0.8,0.61,2.05,1.25,1.65,0.625,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1818.15,904.15,914.0,2.011,1818.15,904.15,1361.15,909.075,9.32,6.69,2.63,1.393,9.32,6.69,8.005,4.66,0.16,0.21,-0.05,0.762,0.21,0.16,0.185,0.08,2.42,2.75,-0.33,0.88,2.75,2.42,2.585,1.21,44.5,38.3,6.2,1.162,44.5,38.3,41.4,22.25
YbSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,173.045,1.421,51.285,6.0,5.0,3.0,15.0,-12.0,39.0,85.0,-46.0,16.0,15.0,1.0,31.0,16.0,8.0,0.0,3.0,-3.0,3.0,0.0,0.0,3.0,5.0,-2.0,8.0,3.0,1.5,4.048,3.984,0.064,1.016,4.048,3.984,4.016,2.024,6.254,8.608,-2.354,0.727,8.608,6.254,7.431,3.127,12.0,6.0,6.0,1.0,0.5,1.0,0.5,0.75,1.0,0.868,1.0,0.868,0.934,1.939,1.434,1.352,0.505,1.686,0.97,1.933,1.59,1.216,0.343,1.762,0.966,1.1,2.05,-0.95,0.537,2.05,1.1,1.575,0.55,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1092.15,904.15,188.0,1.208,1092.15,904.15,998.15,546.075,6.97,6.69,0.28,1.042,6.97,6.69,6.83,3.485,0.15,0.21,-0.06,0.714,0.21,0.15,0.18,0.075,1.6,2.75,-1.15,0.582,2.75,1.6,2.175,0.8,30.5,38.3,-7.8,0.796,38.3,30.5,34.4,15.25
HoSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,164.93,1.355,43.17,6.0,5.0,3.0,15.0,-12.0,33.0,85.0,-52.0,13.0,15.0,-2.0,28.0,13.0,6.5,3.0,3.0,0.0,6.0,3.0,1.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.994,3.984,0.01,1.003,3.994,3.984,3.989,1.997,6.022,8.608,-2.587,0.699,8.608,6.022,7.315,3.011,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.975,0.868,0.975,0.868,0.922,1.745,1.434,1.217,0.311,1.59,0.872,1.761,1.59,1.108,0.171,1.676,0.88,1.23,2.05,-0.82,0.6,2.05,1.23,1.64,0.615,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1747.15,904.15,843.0,1.932,1747.15,904.15,1325.65,873.575,8.8,6.69,2.11,1.315,8.8,6.69,7.745,4.4,0.16,0.21,-0.05,0.762,0.21,0.16,0.185,0.08,3.14,2.75,0.39,1.142,3.14,2.75,2.945,1.57,40.2,38.3,1.9,1.05,40.2,38.3,39.25,20.1
CoGa,1.0,1.0,0.5,0.5,1.0,1.0,1.0,58.933,0.845,-10.79,4.0,4.0,9.0,13.0,-4.0,58.0,74.0,-16.0,9.0,13.0,-4.0,22.0,9.0,4.5,3.0,1.0,2.0,4.0,3.0,1.5,4.0,3.0,1.0,7.0,4.0,2.0,3.046,2.655,0.391,1.147,3.046,2.655,2.85,1.523,7.881,5.999,1.882,1.314,7.881,5.999,6.94,3.94,12.0,7.0,5.0,0.5,0.143,0.5,0.143,0.321,0.996,0.897,0.996,0.897,0.946,1.25,1.243,1.006,0.007,1.247,0.625,1.252,1.408,0.889,-0.156,1.33,0.626,1.88,1.81,0.07,1.039,1.88,1.81,1.845,0.94,1.72,1.7,0.02,1.012,1.72,1.7,1.71,0.86,1768.15,302.95,1465.2,5.836,1768.15,302.95,1035.55,884.075,8.9,5.9,3.0,1.508,8.9,5.9,7.4,4.45,0.42,0.37,0.05,1.135,0.42,0.37,0.395,0.21,4.39,2.81,1.58,1.562,4.39,2.81,3.6,2.195,182.0,56.9,125.1,3.199,182.0,56.9,119.45,91.0
NdPt,1.0,1.0,0.5,0.5,1.0,1.0,1.0,144.242,0.739,-50.842,6.0,6.0,3.0,10.0,-7.0,19.0,63.0,-44.0,6.0,10.0,-4.0,16.0,6.0,3.0,4.0,1.0,3.0,5.0,4.0,2.0,3.0,3.0,0.0,6.0,3.0,1.5,3.822,4.883,-1.061,0.783,4.883,3.822,4.352,1.911,5.525,8.959,-3.434,0.617,8.959,5.525,7.242,2.762,12.0,12.0,0.0,0.5,1.0,1.0,0.5,0.75,0.992,1.0,1.0,0.992,0.996,1.813,1.387,1.307,0.426,1.6,0.906,1.818,1.385,1.313,0.433,1.602,0.909,1.14,2.28,-1.14,0.5,2.28,1.14,1.71,0.57,1.2,1.91,-0.71,0.628,1.91,1.2,1.555,0.6,1289.15,2045.15,-756.0,0.63,2045.15,1289.15,1667.15,644.575,7.0,21.4,-14.4,0.327,21.4,7.0,14.2,3.5,0.19,0.13,0.06,1.462,0.19,0.13,0.16,0.095,3.4,5.84,-2.44,0.582,5.84,3.4,4.62,1.7,31.8,276.0,-244.2,0.115,276.0,31.8,153.9,15.9
YbSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,173.045,1.421,51.285,6.0,5.0,3.0,15.0,-12.0,39.0,85.0,-46.0,16.0,15.0,1.0,31.0,16.0,8.0,0.0,3.0,-3.0,3.0,0.0,0.0,3.0,5.0,-2.0,8.0,3.0,1.5,4.048,3.984,0.064,1.016,4.048,3.984,4.016,2.024,6.254,8.608,-2.354,0.727,8.608,6.254,7.431,3.127,12.0,6.0,6.0,1.0,0.5,1.0,0.5,0.75,1.0,0.868,1.0,0.868,0.934,1.939,1.434,1.352,0.505,1.686,0.97,1.933,1.59,1.216,0.343,1.762,0.966,1.1,2.05,-0.95,0.537,2.05,1.1,1.575,0.55,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1092.15,904.15,188.0,1.208,1092.15,904.15,998.15,546.075,6.97,6.69,0.28,1.042,6.97,6.69,6.83,3.485,0.15,0.21,-0.06,0.714,0.21,0.15,0.18,0.075,1.6,2.75,-1.15,0.582,2.75,1.6,2.175,0.8,30.5,38.3,-7.8,0.796,38.3,30.5,34.4,15.25
PrSb,1.0,1.0,0.5,0.5,1.0,1.0,1.0,140.908,1.157,19.148,6.0,5.0,3.0,15.0,-12.0,17.0,85.0,-68.0,5.0,15.0,-10.0,20.0,5.0,2.5,3.0,3.0,0.0,6.0,3.0,1.5,3.0,5.0,-2.0,8.0,3.0,1.5,3.8,3.984,-0.184,0.954,3.984,3.8,3.892,1.9,5.473,8.608,-3.135,0.636,8.608,5.473,7.041,2.736,12.0,6.0,6.0,0.5,0.5,0.5,0.5,0.5,0.991,0.868,0.991,0.868,0.93,1.82,1.434,1.269,0.386,1.627,0.91,1.824,1.59,1.147,0.234,1.707,0.912,1.13,2.05,-0.92,0.551,2.05,1.13,1.59,0.565,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1204.15,904.15,300.0,1.332,1204.15,904.15,1054.15,602.075,6.77,6.69,0.08,1.012,6.77,6.69,6.73,3.385,0.19,0.21,-0.02,0.905,0.21,0.19,0.2,0.095,3.7,2.75,0.95,1.345,3.7,2.75,3.225,1.85,28.8,38.3,-9.5,0.752,38.3,28.8,33.55,14.4
