,Component_1 (24.982%),Component_2 (7.833%),Component_3 (3.916%),Component_4 (6.497%),Component_5 (2.502%),Component_6 (2.771%),Component_7 (1.387%),Component_8 (2.172%),Component_9 (1.739%),Component_10 (1.422%)
sum_C-0,0.037,0.011,0.004,0.01,-0.0,-0.014,-0.007,-0.0,-0.0,-0.001
sum_C-1,0.037,0.011,0.01,0.005,0.017,0.004,-0.006,-0.008,-0.003,0.014
sum_C-10,0.021,-0.001,-0.008,-0.028,0.01,0.03,-0.02,0.018,-0.014,-0.005
sum_C-11,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-12,0.036,0.011,0.01,0.006,0.018,0.005,-0.009,-0.005,-0.002,0.016
sum_C-13,0.036,0.011,0.011,0.005,0.02,0.005,-0.005,-0.008,-0.004,0.007
sum_C-14,0.037,0.01,0.004,0.007,0.0,-0.01,-0.008,0.004,-0.002,-0.004
sum_C-15,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-16,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-17,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-18,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-19,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-2,0.036,0.011,0.01,0.006,0.018,0.005,-0.009,-0.005,-0.002,0.016
sum_C-20,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-21,0.036,0.009,-0.006,0.004,-0.008,-0.009,0.004,0.013,0.007,0.009
sum_C-22,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
sum_C-23,-0.021,0.001,0.008,0.028,-0.01,-0.03,0.02,-0.018,0.014,0.005
sum_C-24,-0.021,0.001,0.008,0.028,-0.01,-0.03,0.02,-0.018,0.014,0.005
