,Component_1 (16.003%),Component_2 (8.875%),Component_3 (6.903%),Component_4 (3.115%),Component_5 (7.375%),Component_6 (3.705%),Component_7 (2.497%),Component_8 (2.090%),Component_9 (0.824%),Component_10 (2.512%)
sum_Number,0.05,-0.046,0.13,-0.008,0.064,0.048,-0.058,-0.025,0.061,0.04
sum_MendeleevNumber,0.024,0.056,-0.114,-0.026,0.083,0.055,-0.042,-0.041,0.078,0.025
sum_AtomicWeight,0.051,-0.04,0.134,-0.015,0.056,0.056,-0.053,-0.032,0.054,0.049
sum_MeltingT,-0.174,-0.009,0.031,0.018,-0.063,-0.007,-0.027,-0.099,-0.066,0.035
sum_Column,0.053,0.086,-0.099,-0.059,0.075,0.017,-0.007,-0.021,0.029,0.108
sum_Row,0.052,-0.064,0.129,0.003,0.068,0.01,-0.049,0.003,0.075,0.018
sum_CovalentRadius,0.07,-0.08,0.115,0.028,-0.006,-0.056,-0.024,0.003,0.034,-0.05
sum_Electronegativity,-0.092,0.032,-0.055,-0.057,0.104,0.042,-0.002,-0.005,0.041,0.117
sum_NsValence,0.096,0.001,-0.096,0.081,-0.032,-0.085,-0.082,-0.007,-0.04,-0.054
sum_NpValence,0.144,0.064,-0.051,-0.117,0.006,0.0,0.006,-0.148,-0.017,0.113
sum_NdValence,0.03,0.023,0.008,-0.091,0.144,0.048,0.037,0.077,-0.003,0.059
sum_NfValence,-0.037,-0.059,0.074,0.043,-0.025,0.153,-0.085,-0.109,-0.011,-0.064
sum_NValence,0.021,-0.024,0.054,-0.041,0.078,0.16,-0.052,-0.065,-0.017,0.001
sum_NsUnfilled,-0.117,-0.044,0.058,-0.003,0.055,0.058,0.011,0.027,0.052,0.153
sum_NpUnfilled,0.141,0.075,-0.09,-0.023,0.009,0.047,-0.004,0.043,0.076,-0.007
sum_NdUnfilled,-0.046,-0.017,0.059,-0.034,-0.029,-0.109,0.14,0.074,-0.016,-0.012
sum_NfUnfilled,0.066,-0.088,0.017,0.099,-0.028,-0.042,0.127,-0.025,0.056,0.138
sum_NUnfilled,0.063,-0.052,0.023,0.041,-0.034,-0.084,0.188,0.049,0.062,0.1
sum_GSvolume_pa,0.169,-0.024,0.065,-0.028,0.002,-0.063,-0.063,-0.033,0.105,-0.032
sum_GSbandgap,-0.019,0.096,-0.047,-0.006,-0.135,-0.005,-0.022,-0.073,0.083,0.032
sum_GSmagmom,-0.109,0.061,-0.037,-0.132,-0.077,0.03,0.085,0.0,0.087,-0.042
sum_SpaceGroupNumber,-0.128,0.047,0.04,-0.015,-0.054,-0.104,-0.088,-0.114,0.078,0.068
avg_Number,0.05,-0.046,0.13,-0.008,0.064,0.048,-0.058,-0.025,0.061,0.04
avg_MendeleevNumber,0.024,0.056,-0.114,-0.026,0.083,0.055,-0.042,-0.041,0.078,0.025
avg_AtomicWeight,0.051,-0.04,0.134,-0.015,0.056,0.056,-0.053,-0.032,0.054,0.049
avg_MeltingT,-0.174,-0.009,0.031,0.018,-0.063,-0.007,-0.027,-0.099,-0.066,0.035
avg_Column,0.053,0.086,-0.099,-0.059,0.075,0.017,-0.007,-0.021,0.029,0.108
avg_Row,0.052,-0.064,0.129,0.003,0.068,0.01,-0.049,0.003,0.075,0.018
avg_CovalentRadius,0.07,-0.08,0.115,0.028,-0.006,-0.056,-0.024,0.003,0.034,-0.05
avg_Electronegativity,-0.092,0.032,-0.055,-0.057,0.104,0.042,-0.002,-0.005,0.041,0.117
avg_NsValence,0.096,0.001,-0.096,0.081,-0.032,-0.085,-0.082,-0.007,-0.04,-0.054
avg_NpValence,0.144,0.064,-0.051,-0.117,0.006,0.0,0.006,-0.148,-0.017,0.113
avg_NdValence,0.03,0.023,0.008,-0.091,0.144,0.048,0.037,0.077,-0.003,0.059
avg_NfValence,-0.037,-0.059,0.074,0.043,-0.025,0.153,-0.085,-0.109,-0.011,-0.064
