,Component_1 (11.504%),Component_2 (2.819%),Component_3 (4.789%),Component_4 (2.909%),Component_5 (2.246%),Component_6 (4.423%),Component_7 (2.170%),Component_8 (1.442%),Component_9 (2.366%)
sum_0,0.043,0.02,-0.02,0.008,-0.028,-0.023,0.002,-0.022,-0.052
sum_1,-0.003,-0.007,-0.053,0.014,-0.014,-0.002,0.025,-0.038,-0.029
sum_2,0.019,-0.01,-0.024,-0.01,-0.024,-0.005,-0.062,0.014,-0.017
sum_3,0.052,0.01,-0.022,0.024,-0.008,-0.05,-0.001,-0.009,0.023
sum_4,-0.017,0.038,0.01,0.043,-0.024,0.031,-0.029,-0.011,-0.037
sum_5,-0.015,-0.012,-0.02,0.002,0.016,-0.046,0.006,-0.035,-0.017
sum_6,0.024,-0.022,-0.026,-0.017,0.024,-0.047,-0.015,-0.03,0.006
sum_7,0.0,-0.005,0.018,-0.016,-0.051,0.014,-0.026,0.033,0.038
sum_8,-0.03,0.035,0.014,0.017,0.038,-0.007,-0.0,-0.029,-0.022
sum_9,-0.027,0.0,-0.049,0.017,0.004,-0.035,0.005,0.026,-0.017
sum_10,-0.019,-0.01,-0.019,-0.012,-0.048,-0.009,-0.058,-0.002,0.027
sum_11,-0.001,-0.017,-0.042,0.011,-0.019,0.033,0.015,0.019,0.033
sum_12,-0.021,0.024,0.041,-0.017,0.002,-0.022,-0.019,0.014,0.021
sum_13,-0.018,0.022,0.005,0.001,-0.05,0.009,0.029,-0.032,-0.035
sum_14,-0.025,0.032,0.022,-0.0,0.001,0.023,0.042,-0.024,0.016
sum_15,0.021,0.045,0.027,0.033,0.018,-0.019,0.021,-0.059,-0.011
sum_16,-0.024,0.034,0.019,-0.008,0.017,-0.045,-0.019,0.005,0.003
sum_17,0.002,-0.002,-0.002,-0.009,0.004,0.007,0.037,0.001,0.071
sum_18,-0.033,-0.008,-0.019,-0.037,-0.001,-0.054,-0.0,-0.056,-0.037
sum_19,-0.041,0.019,0.006,0.014,0.038,0.018,0.021,0.012,0.036
sum_20,-0.013,0.03,-0.001,-0.006,-0.005,-0.062,0.017,-0.041,-0.007
sum_21,0.023,0.035,-0.021,-0.01,-0.063,-0.026,-0.017,-0.044,0.023
sum_22,0.028,0.025,0.031,0.021,0.015,-0.03,-0.01,0.005,0.057
sum_23,0.01,-0.051,-0.04,-0.019,0.023,-0.031,-0.009,-0.008,-0.011
sum_24,0.047,0.018,0.029,0.02,-0.005,-0.006,-0.033,0.059,-0.012
sum_25,-0.004,0.025,-0.0,0.02,-0.025,0.022,0.025,-0.002,-0.039
sum_26,-0.016,-0.006,0.013,0.023,0.058,-0.001,0.028,0.027,-0.03
sum_27,0.043,-0.026,-0.008,-0.037,0.005,-0.013,0.049,0.003,0.021
sum_28,0.047,-0.018,0.009,-0.025,-0.001,-0.012,-0.002,0.013,0.014
sum_29,-0.046,0.017,-0.018,0.024,-0.003,-0.024,-0.03,-0.013,-0.005
sum_30,0.035,-0.023,-0.022,-0.033,-0.024,0.012,0.021,-0.015,0.013
sum_31,0.039,0.013,0.024,-0.005,-0.041,-0.001,0.02,0.057,0.035
sum_32,0.004,-0.026,-0.032,0.021,-0.018,0.02,-0.018,0.013,0.051
sum_33,-0.001,0.024,0.041,-0.036,-0.0,-0.051,0.015,-0.004,0.01
sum_34,-0.011,-0.014,-0.022,0.023,-0.012,0.061,0.003,0.038,0.027
sum_35,-0.037,0.01,0.022,-0.03,-0.027,-0.015,-0.028,0.036,-0.011
sum_36,-0.022,-0.016,-0.013,0.024,0.04,0.009,0.005,-0.003,-0.019
sum_37,0.003,-0.025,-0.041,-0.018,-0.025,-0.043,-0.037,-0.01,-0.016
sum_38,0.036,-0.039,0.017,-0.005,0.028,0.066,-0.042,0.019,-0.019
sum_39,-0.015,0.001,-0.027,0.051,0.031,-0.014,-0.038,0.018,0.013
sum_40,-0.013,-0.019,-0.071,0.011,-0.014,-0.024,0.01,-0.001,0.008
sum_41,-0.01,0.023,0.009,0.032,0.004,0.039,0.045,-0.028,-0.006
sum_42,-0.048,0.022,0.002,0.009,-0.0,-0.014,-0.04,0.024,0.022
sum_43,-0.02,0.014,-0.028,0.054,-0.006,-0.022,-0.039,0.009,-0.006
sum_44,0.015,0.025,0.031,0.028,0.014,-0.04,0.007,-0.01,0.034
sum_45,0.034,-0.001,0.019,-0.021,-0.029,-0.021,0.042,-0.007,0.018
sum_46,-0.062,0.002,-0.007,-0.019,-0.022,-0.014,-0.019,0.017,-0.002
sum_47,0.035,0.007,0.006,0.048,0.062,-0.008,0.031,-0.006,-0.004
sum_48,-0.057,0.029,-0.012,0.024,-0.019,0.003,-0.019,-0.012,0.023
sum_49,-0.011,-0.003,-0.037,-0.005,-0.01,0.052,0.027,-0.01,-0.002
sum_50,-0.027,-0.0,-0.041,0.017,0.01,-0.006,-0.007,0.022,0.007
sum_51,0.04,0.021,0.033,-0.019,-0.022,0.005,0.045,-0.018,0.014
sum_52,-0.025,0.002,0.021,-0.034,0.013,0.023,0.04,-0.025,0.004
sum_53,0.049,0.035,0.012,0.023,-0.013,0.02,0.023,-0.048,-0.008
sum_54,0.019,-0.02,-0.028,-0.021,-0.066,-0.016,0.005,0.025,0.0
sum_55,0.012,0.004,0.031,-0.026,-0.035,0.007,0.03,0.003,0.027
sum_56,-0.01,-0.04,0.006,-0.044,-0.001,-0.034,0.007,0.036,0.064
sum_57,-0.029,0.007,0.036,-0.011,-0.028,0.052,-0.001,-0.01,-0.003
sum_58,-0.002,0.013,-0.02,0.046,0.007,-0.026,-0.026,-0.023,0.009
sum_59,0.024,-0.012,-0.009,-0.003,-0.007,0.015,0.042,0.001,-0.026
sum_60,0.032,-0.005,0.05,-0.009,-0.015,0.011,0.009,0.008,-0.001
sum_61,0.018,0.019,0.01,-0.005,-0.047,0.01,0.033,0.011,-0.004
sum_62,-0.019,0.014,-0.012,0.009,0.027,-0.018,0.005,0.004,0.032
sum_63,-0.038,0.01,0.028,-0.009,0.024,-0.03,0.001,0.033,0.005
sum_64,-0.006,0.007,0.038,-0.023,-0.003,-0.004,0.026,-0.042,0.017
sum_65,0.049,-0.005,-0.004,0.016,0.015,0.018,0.004,0.033,0.043
sum_66,0.039,-0.003,-0.034,0.026,-0.009,0.008,-0.008,0.008,0.027
sum_67,0.034,0.034,0.036,0.043,-0.037,0.003,0.018,-0.011,-0.018
sum_68,-0.023,-0.004,-0.045,0.02,-0.007,0.005,0.038,-0.009,-0.02
sum_69,0.011,-0.003,0.01,-0.006,-0.034,0.016,-0.08,0.049,-0.018
sum_70,0.011,-0.034,-0.012,-0.032,-0.033,0.006,0.034,-0.014,-0.028
sum_71,-0.041,0.019,-0.032,0.025,0.019,-0.017,0.005,0.003,-0.042
sum_72,-0.051,-0.005,0.037,-0.02,0.012,0.019,0.027,-0.01,-0.011
sum_73,0.054,-0.013,-0.006,-0.004,0.025,0.002,-0.011,-0.003,-0.003
sum_74,0.057,-0.011,0.003,-0.008,-0.008,-0.008,-0.044,-0.016,0.014
sum_75,-0.002,0.009,0.053,-0.037,-0.01,-0.014,0.024,-0.005,-0.019
sum_76,0.033,0.021,-0.026,0.039,-0.015,-0.048,-0.008,0.003,-0.006
sum_77,-0.024,-0.038,-0.012,-0.011,0.018,0.068,0.003,0.047,0.034
sum_78,0.015,-0.001,0.006,0.029,0.059,-0.022,-0.039,0.006,-0.005
sum_79,0.008,0.011,0.016,0.02,-0.001,0.042,-0.009,0.002,0.029
sum_80,-0.028,-0.032,-0.035,0.007,-0.035,0.038,-0.036,0.008,0.029
sum_81,-0.003,-0.026,-0.054,0.021,0.001,0.004,0.01,-0.051,0.001
sum_82,0.024,-0.02,-0.018,-0.051,-0.013,-0.015,0.048,-0.043,0.024
sum_83,-0.025,0.006,0.02,-0.019,0.027,-0.009,-0.034,0.013,0.018
sum_84,0.062,-0.004,0.005,0.011,0.003,-0.018,0.025,-0.018,0.002
sum_85,0.038,-0.01,-0.042,0.022,0.014,-0.007,0.023,-0.001,0.023
sum_86,0.001,-0.032,-0.032,-0.063,-0.016,-0.021,0.015,-0.005,-0.003
sum_87,-0.037,-0.012,-0.002,0.024,0.04,0.013,0.025,-0.036,-0.022
