,Component_1 (18.058%),Component_2 (7.428%),Component_3 (9.389%),Component_4 (4.083%),Component_5 (3.959%),Component_6 (2.898%),Component_7 (3.207%),Component_8 (1.371%),Component_9 (2.111%)
sum_Atomic_Number,-0.033,-0.02,0.094,-0.022,-0.06,0.048,0.049,0.05,0.024
sum_Atomic_Weight,-0.034,-0.023,0.096,-0.015,-0.061,0.047,0.054,0.048,0.027
sum_Period,-0.035,-0.003,0.094,-0.027,-0.056,0.042,0.04,0.022,0.008
sum_group,-0.036,-0.094,-0.073,-0.047,-0.021,0.027,-0.012,0.06,-0.009
sum_families,-0.056,-0.073,-0.082,-0.02,-0.001,0.024,0.04,0.022,-0.014
sum_Metal,0.067,0.024,0.068,-0.045,-0.012,-0.079,-0.078,-0.004,0.032
sum_Nonmetal,-0.043,-0.003,-0.065,0.116,-0.055,0.089,0.036,-0.015,0.002
sum_Metalliod,-0.036,-0.033,-0.001,-0.117,0.106,-0.021,0.063,0.03,-0.053
sum_Mendeleev_Number,-0.016,-0.068,-0.079,-0.059,-0.026,0.003,0.007,0.074,0.03
sum_l_quantum_number,0.042,0.101,0.062,0.038,0.009,-0.008,0.004,-0.003,0.034
sum_Atomic_Radius,0.006,0.084,0.07,-0.024,-0.006,-0.042,0.043,-0.032,0.034
sum_Miracle_Radius_,-0.067,0.039,0.062,-0.016,-0.056,0.031,-0.013,-0.006,-0.008
sum_Covalent_Radius,-0.063,0.045,0.06,-0.051,-0.012,0.044,-0.02,0.001,-0.051
sum_Zunger_radii_sum,-0.012,0.047,0.093,0.013,0.007,0.05,-0.008,0.016,-0.03
sum_ionic_radius,-0.058,0.047,0.069,-0.014,-0.033,0.037,-0.032,-0.022,-0.014
sum_crystal_radius,-0.065,0.023,0.07,-0.016,-0.059,0.014,-0.011,-0.033,-0.017
sum_Pauling_Electronegativity,0.06,-0.072,-0.042,-0.053,-0.036,0.01,0.058,0.015,-0.009
sum_MB_electonegativity,0.019,-0.08,-0.054,0.007,-0.058,0.031,0.059,-0.001,-0.04
sum_Gordy_electonegativity,-0.017,-0.014,0.054,-0.036,-0.024,0.036,0.081,0.116,0.051
sum_Mulliken_EN,0.055,-0.056,-0.023,0.054,-0.036,0.098,0.078,0.034,0.017
sum_Allred-Rockow_electronegativity,0.009,-0.082,-0.072,0.019,-0.033,0.018,-0.006,0.024,0.034
sum_metallic_valence,0.119,-0.029,0.002,0.021,0.006,0.013,-0.014,0.001,0.009
sum_number_of_valence_electrons,0.119,-0.004,-0.004,0.013,-0.038,0.046,-0.039,0.024,0.019
sum_gilmor_number_of_valence_electron,0.003,0.01,-0.084,0.035,-0.055,-0.038,0.146,-0.075,0.06
sum_valence_s,-0.064,0.028,-0.047,0.068,0.017,0.03,-0.074,-0.009,0.136
sum_valence_p,-0.097,-0.051,-0.059,0.014,-0.043,0.046,0.048,0.011,-0.009
sum_valence_d,0.03,-0.019,-0.023,-0.077,-0.079,0.126,-0.076,0.03,0.014
sum_valence_f,0.025,0.037,0.057,-0.013,-0.005,0.002,0.06,0.106,0.078
sum_Number_of_unfilled_s_valence_electrons,0.064,-0.028,0.047,-0.068,-0.017,-0.03,0.074,0.009,-0.136
sum_Number_of_unfilled_p_valence_electrons,0.097,0.051,0.059,-0.014,0.043,-0.046,-0.048,-0.011,0.009
sum_Number_of_unfilled_d_valence_electrons,-0.03,0.019,0.023,0.077,0.079,-0.126,0.076,-0.03,-0.014
sum_Number_of_unfilled_f_valence_electrons,-0.025,-0.037,-0.057,0.013,0.005,-0.002,-0.06,-0.106,-0.078
sum_outer_shell_electrons,-0.043,-0.018,-0.049,0.042,0.095,-0.03,0.018,0.01,0.028
sum_1st_ionization_potential_(kJ/mol),0.055,-0.047,-0.034,0.087,-0.067,0.054,0.103,-0.013,0.036
sum_polarizability(A^3),-0.052,0.046,0.082,0.041,0.013,0.01,0.003,-0.042,-0.016
sum_Melting_point_(K),0.117,0.058,0.004,0.058,0.043,0.047,0.062,-0.034,0.014
sum_Boiling_Point_(K),0.059,-0.051,0.09,0.016,0.036,0.053,0.019,0.009,-0.089
