Formula,Structure,sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
CoSi,FeSi,41.0,136.0,87.018695,3455.0,23.0,7.0,237.0,3.78,4.0,2.0,7.0,0.0,13.0,0.0,4.0,3.0,0.0,7.0,30.685000000000002,0.773,1.5484712,421.0,20.5,68.0,43.5093475,1727.5,11.5,3.5,118.5,1.89,2.0,1.0,3.5,0.0,6.5,0.0,2.0,1.5,0.0,3.5,15.342500000000001,0.3865,0.7742356,210.5,6.5,10.0,15.423847499999999,40.5,2.5,0.5,7.5,0.010000000000000009,0.0,1.0,3.5,0.0,2.5,0.0,2.0,1.5,0.0,0.5,5.097500000000001,0.3865,0.7742356,16.5,13.0,20.0,30.847694999999998,81.0,5.0,1.0,15.0,0.020000000000000018,0.0,2.0,7.0,0.0,5.0,0.0,4.0,3.0,0.0,1.0,10.195000000000002,0.773,1.5484712,33.0,27.0,78.0,58.933195,1768.0,14.0,4.0,126.0,1.9,2.0,2.0,7.0,0.0,9.0,0.0,4.0,3.0,0.0,4.0,20.44,0.773,1.5484712,227.0,14.0,58.0,28.0855,1687.0,9.0,3.0,111.0,1.88,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,10.245,0.0,0.0,194.0,14.0,58.0,28.0855,1687.0,9.0,3.0,111.0,1.88,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,10.245,0.0,0.0,194.0
ErNi,FeB-b,96.0,96.0,225.95239999999998,3498.0,13.0,10.0,313.0,3.15,4.0,0.0,8.0,12.0,24.0,0.0,0.0,2.0,2.0,4.0,40.905,0.0,0.5953947,419.0,48.0,48.0,112.97619999999999,1749.0,6.5,5.0,156.5,1.575,2.0,0.0,4.0,6.0,12.0,0.0,0.0,1.0,1.0,2.0,20.4525,0.0,0.29769735,209.5,20.0,13.0,54.282799999999995,21.0,3.5,1.0,32.5,0.33499999999999996,0.0,0.0,4.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,10.1325,0.0,0.29769735,15.5,40.0,26.0,108.56559999999999,42.0,7.0,2.0,65.0,0.6699999999999999,0.0,0.0,8.0,12.0,4.0,0.0,0.0,2.0,2.0,0.0,20.265,0.0,0.5953947,31.0,68.0,61.0,167.259,1770.0,10.0,6.0,189.0,1.91,2.0,0.0,8.0,12.0,14.0,0.0,0.0,2.0,2.0,2.0,30.585,0.0,0.5953947,225.0,28.0,35.0,58.6934,1728.0,3.0,4.0,124.0,1.24,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.0,194.0,28.0,35.0,58.6934,1728.0,3.0,4.0,124.0,1.24,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,10.32,0.0,0.0,194.0
CeGa,TlI,89.0,89.0,209.839,1373.91,16.0,10.0,326.0,2.93,4.0,1.0,11.0,1.0,17.0,0.0,5.0,9.0,13.0,27.0,56.097500000000004,0.0,0.0,258.0,44.5,44.5,104.9195,686.955,8.0,5.0,163.0,1.465,2.0,0.5,5.5,0.5,8.5,0.0,2.5,4.5,6.5,13.5,28.048750000000002,0.0,0.0,129.0,13.5,29.5,35.19650000000001,384.04499999999996,5.0,1.0,41.0,0.345,0.0,0.5,4.5,0.5,4.5,0.0,2.5,4.5,6.5,8.5,9.19125,0.0,0.0,65.0,27.0,59.0,70.39300000000001,768.0899999999999,10.0,2.0,82.0,0.69,0.0,1.0,9.0,1.0,9.0,0.0,5.0,9.0,13.0,17.0,18.3825,0.0,0.0,130.0,58.0,74.0,140.116,1071.0,13.0,6.0,204.0,1.81,2.0,1.0,10.0,1.0,13.0,0.0,5.0,9.0,13.0,22.0,37.24,0.0,0.0,194.0,31.0,15.0,69.723,302.91,3.0,4.0,122.0,1.12,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,18.8575,0.0,0.0,64.0,31.0,15.0,69.723,302.91,3.0,4.0,122.0,1.12,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,18.8575,0.0,0.0,64.0
TmSb,NaCl,120.0,122.0,290.69421,2721.7799999999997,18.0,11.0,329.0,3.3,4.0,3.0,10.0,13.0,30.0,0.0,3.0,0.0,1.0,4.0,61.34,0.0,0.0,360.0,60.0,61.0,145.347105,1360.8899999999999,9.0,5.5,164.5,1.65,2.0,1.5,5.0,6.5,15.0,0.0,1.5,0.0,0.5,2.0,30.67,0.0,0.0,180.0,9.0,24.0,23.587105,457.11,6.0,0.5,25.5,0.3999999999999999,0.0,1.5,5.0,6.5,0.0,0.0,1.5,0.0,0.5,1.0,0.8899999999999988,0.0,0.0,14.0,18.0,48.0,47.17421,914.22,12.0,1.0,51.0,0.7999999999999998,0.0,3.0,10.0,13.0,0.0,0.0,3.0,0.0,1.0,2.0,1.7799999999999976,0.0,0.0,28.0,69.0,85.0,168.93421,1818.0,15.0,6.0,190.0,2.05,2.0,3.0,10.0,13.0,15.0,0.0,3.0,0.0,1.0,3.0,31.56,0.0,0.0,194.0,51.0,37.0,121.76,903.78,3.0,5.0,139.0,1.25,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,29.78,0.0,0.0,166.0,51.0,37.0,121.76,903.78,3.0,5.0,139.0,1.25,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,29.78,0.0,0.0,166.0
YbSb,NaCl,121.0,124.0,294.814,1995.78,18.0,11.0,326.0,3.3099999999999996,4.0,3.0,10.0,14.0,31.0,0.0,3.0,0.0,0.0,3.0,65.67999999999999,0.0,0.0,391.0,60.5,62.0,147.407,997.89,9.0,5.5,163.0,1.6549999999999998,2.0,1.5,5.0,7.0,15.5,0.0,1.5,0.0,0.0,1.5,32.839999999999996,0.0,0.0,195.5,9.5,23.0,25.647,94.11000000000001,6.0,0.5,24.0,0.3949999999999999,0.0,1.5,5.0,7.0,0.5,0.0,1.5,0.0,0.0,1.5,1.2799999999999994,0.0,0.0,29.5,19.0,46.0,51.294,188.22000000000003,12.0,1.0,48.0,0.7899999999999998,0.0,3.0,10.0,14.0,1.0,0.0,3.0,0.0,0.0,3.0,2.5599999999999987,0.0,0.0,59.0,70.0,85.0,173.054,1092.0,15.0,6.0,187.0,2.05,2.0,3.0,10.0,14.0,16.0,0.0,3.0,0.0,0.0,3.0,34.12,0.0,0.0,225.0,51.0,39.0,121.76,903.78,3.0,5.0,139.0,1.26,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.56,0.0,0.0,166.0,51.0,39.0,121.76,903.78,3.0,5.0,139.0,1.26,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.56,0.0,0.0,166.0
HoSb,NaCl,118.0,118.0,286.69032,2650.7799999999997,18.0,11.0,331.0,3.28,4.0,3.0,10.0,11.0,28.0,0.0,3.0,0.0,3.0,6.0,62.2933333333,0.0,0.0,360.0,59.0,59.0,143.34516,1325.3899999999999,9.0,5.5,165.5,1.64,2.0,1.5,5.0,5.5,14.0,0.0,1.5,0.0,1.5,3.0,31.14666666665,0.0,0.0,180.0,8.0,26.0,21.585159999999995,421.61,6.0,0.5,26.5,0.4099999999999999,0.0,1.5,5.0,5.5,1.0,0.0,1.5,0.0,1.5,0.0,0.4133333333499998,0.0,0.0,14.0,16.0,52.0,43.17031999999999,843.22,12.0,1.0,53.0,0.8199999999999998,0.0,3.0,10.0,11.0,2.0,0.0,3.0,0.0,3.0,0.0,0.8266666666999996,0.0,0.0,28.0,67.0,85.0,164.93032,1747.0,15.0,6.0,192.0,2.05,2.0,3.0,10.0,11.0,15.0,0.0,3.0,0.0,3.0,3.0,31.56,0.0,0.0,194.0,51.0,33.0,121.76,903.78,3.0,5.0,139.0,1.23,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,30.7333333333,0.0,0.0,166.0,51.0,33.0,121.76,903.78,3.0,5.0,139.0,1.23,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3.0,30.7333333333,0.0,0.0,166.0
CoGa,CsCl,58.0,132.0,128.656195,2070.91,22.0,8.0,248.0,3.69,4.0,1.0,17.0,0.0,22.0,0.0,5.0,3.0,0.0,8.0,29.1025,0.0,1.5484712,258.0,29.0,66.0,64.3280975,1035.455,11.0,4.0,124.0,1.845,2.0,0.5,8.5,0.0,11.0,0.0,2.5,1.5,0.0,4.0,14.55125,0.0,0.7742356,129.0,2.0,8.0,5.394902500000001,732.545,2.0,0.0,2.0,0.03499999999999992,0.0,0.5,1.5,0.0,2.0,0.0,2.5,1.5,0.0,1.0,4.306250000000001,0.0,0.7742356,65.0,4.0,16.0,10.789805000000001,1465.09,4.0,0.0,4.0,0.06999999999999984,0.0,1.0,3.0,0.0,4.0,0.0,5.0,3.0,0.0,2.0,8.612500000000002,0.0,1.5484712,130.0,31.0,74.0,69.723,1768.0,13.0,4.0,126.0,1.88,2.0,1.0,10.0,0.0,13.0,0.0,5.0,3.0,0.0,5.0,18.8575,0.0,1.5484712,194.0,27.0,58.0,58.933195,302.91,9.0,4.0,122.0,1.81,2.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,10.245,0.0,0.0,64.0,27.0,58.0,58.933195,302.91,9.0,4.0,122.0,1.81,2.0,0.0,7.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,10.245,0.0,0.0,64.0
NdPt,FeB-b,138.0,82.0,339.326,3335.4,13.0,12.0,337.0,3.42,3.0,0.0,9.0,18.0,30.0,1.0,0.0,1.0,10.0,12.0,49.83,0.0,0.0,419.0,69.0,41.0,169.663,1667.7,6.5,6.0,168.5,1.71,1.5,0.0,4.5,9.0,15.0,0.5,0.0,0.5,5.0,6.0,24.915,0.0,0.0,209.5,9.0,22.0,25.421000000000006,373.70000000000005,3.5,0.0,32.5,0.57,0.5,0.0,4.5,5.0,9.0,0.5,0.0,0.5,5.0,4.0,9.895000000000001,0.0,0.0,15.5,18.0,44.0,50.84200000000001,747.4000000000001,7.0,0.0,65.0,1.14,1.0,0.0,9.0,10.0,18.0,1.0,0.0,1.0,10.0,8.0,19.790000000000003,0.0,0.0,31.0,78.0,63.0,195.084,2041.4,10.0,6.0,201.0,2.28,2.0,0.0,9.0,14.0,24.0,1.0,0.0,1.0,10.0,10.0,34.81,0.0,0.0,225.0,60.0,19.0,144.242,1294.0,3.0,6.0,136.0,1.14,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,15.02,0.0,0.0,194.0,60.0,19.0,144.242,1294.0,3.0,6.0,136.0,1.14,1.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,15.02,0.0,0.0,194.0
YbSb,NaCl,121.0,124.0,294.814,1995.78,18.0,11.0,326.0,3.3099999999999996,4.0,3.0,10.0,14.0,31.0,0.0,3.0,0.0,0.0,3.0,65.67999999999999,0.0,0.0,391.0,60.5,62.0,147.407,997.89,9.0,5.5,163.0,1.6549999999999998,2.0,1.5,5.0,7.0,15.5,0.0,1.5,0.0,0.0,1.5,32.839999999999996,0.0,0.0,195.5,9.5,23.0,25.647,94.11000000000001,6.0,0.5,24.0,0.3949999999999999,0.0,1.5,5.0,7.0,0.5,0.0,1.5,0.0,0.0,1.5,1.2799999999999994,0.0,0.0,29.5,19.0,46.0,51.294,188.22000000000003,12.0,1.0,48.0,0.7899999999999998,0.0,3.0,10.0,14.0,1.0,0.0,3.0,0.0,0.0,3.0,2.5599999999999987,0.0,0.0,59.0,70.0,85.0,173.054,1092.0,15.0,6.0,187.0,2.05,2.0,3.0,10.0,14.0,16.0,0.0,3.0,0.0,0.0,3.0,34.12,0.0,0.0,225.0,51.0,39.0,121.76,903.78,3.0,5.0,139.0,1.26,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.56,0.0,0.0,166.0,51.0,39.0,121.76,903.78,3.0,5.0,139.0,1.26,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.56,0.0,0.0,166.0
PrSb,NaCl,110.0,102.0,262.66765,2107.7799999999997,18.0,11.0,342.0,3.1799999999999997,4.0,3.0,10.0,3.0,20.0,0.0,3.0,0.0,11.0,14.0,67.235,0.0,0.0,360.0,55.0,51.0,131.333825,1053.8899999999999,9.0,5.5,171.0,1.5899999999999999,2.0,1.5,5.0,1.5,10.0,0.0,1.5,0.0,5.5,7.0,33.6175,0.0,0.0,180.0,4.0,34.0,9.573824999999992,150.11,6.0,0.5,32.0,0.45999999999999996,0.0,1.5,5.0,1.5,5.0,0.0,1.5,0.0,5.5,4.0,2.057499999999999,0.0,0.0,14.0,8.0,68.0,19.147649999999985,300.22,12.0,1.0,64.0,0.9199999999999999,0.0,3.0,10.0,3.0,10.0,0.0,3.0,0.0,11.0,8.0,4.114999999999998,0.0,0.0,28.0,59.0,85.0,140.90765,1204.0,15.0,6.0,203.0,2.05,2.0,3.0,10.0,3.0,15.0,0.0,3.0,0.0,11.0,11.0,35.675,0.0,0.0,194.0,51.0,17.0,121.76,903.78,3.0,5.0,139.0,1.13,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,31.56,0.0,0.0,166.0,51.0,17.0,121.76,903.78,3.0,5.0,139.0,1.13,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,31.56,0.0,0.0,166.0
