,Component_1 (19.920%),Component_2 (23.254%),Component_3 (7.373%),Component_4 (8.283%),Component_5 (2.502%),Component_6 (1.135%),Component_7 (2.375%),Component_8 (1.698%),Component_9 (0.732%),Component_10 (0.990%)
INT_distAA,-0.114,-0.039,0.007,0.193,-0.058,0.074,0.033,-0.037,-0.075,0.068
INT_distBB,-0.087,-0.035,0.154,0.086,0.075,-0.128,-0.007,-0.094,0.152,0.002
INT_distAB,-0.049,0.091,0.113,0.2,0.028,0.131,0.124,-0.03,0.013,0.166
INT_Asize,-0.094,0.097,-0.011,0.205,-0.03,-0.007,0.139,-0.052,-0.16,0.012
INT_Bsize,0.019,-0.011,0.107,0.092,0.254,-0.057,0.099,-0.171,0.15,0.378
INT_Asize_by_Bsize,-0.089,0.101,-0.056,0.105,-0.15,0.047,0.056,0.049,-0.207,-0.125
INT_distAA_by2_byAsize,-0.046,-0.151,0.024,0.002,-0.045,0.156,-0.143,0.008,0.043,0.101
INT_distBB_by2_byBsize,-0.121,-0.034,0.123,0.048,-0.052,-0.126,-0.087,-0.017,0.099,-0.222
INT_distAB_by2_byAsizebyBsize,0.054,0.033,0.155,-0.073,-0.188,0.371,-0.105,0.219,0.163,-0.11
INT_Asize_ref,-0.027,-0.11,0.023,0.141,-0.116,0.026,0.042,0.091,-0.024,0.164
INT_Bsize_ref,-0.01,0.223,0.074,0.005,0.173,0.087,0.06,-0.143,0.042,-0.056
INT_percent_diff_A_by_100,0.025,-0.162,0.05,-0.028,-0.121,0.043,-0.072,0.107,0.065,0.165
INT_percent_diff_B_by_100,-0.027,0.212,0.033,-0.034,0.045,0.107,0.014,-0.07,-0.037,-0.178
INT_distAA_minus_ref_diff,-0.115,0.125,-0.046,0.042,0.143,0.09,-0.038,-0.207,-0.069,-0.185
INT_distBB_minus_ref_diff,-0.021,-0.165,0.029,0.036,-0.043,-0.138,-0.102,0.08,0.031,0.064
INT_distAB_minus_ref_diff,0.013,-0.002,0.001,0.011,0.071,0.056,0.192,-0.077,-0.201,-0.068
INT_R_factor,-0.146,-0.043,0.113,-0.072,-0.092,0.07,-0.056,-0.169,-0.02,0.065
INT_UNI_shortest_homoatomic_dist,-0.075,-0.096,0.042,0.159,0.036,-0.055,-0.081,-0.076,0.0,0.028
INT_UNI_shortest_heteroatomic_dist,-0.049,0.091,0.113,0.2,0.028,0.131,0.124,-0.03,0.013,0.166
INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,-0.153,0.011,0.154,-0.089,-0.16,0.052,-0.163,-0.16,0.023,0.005
INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,0.054,0.033,0.155,-0.073,-0.188,0.371,-0.105,0.219,0.163,-0.11
INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,0.013,-0.002,0.001,0.011,0.071,0.056,0.192,-0.077,-0.201,-0.068
INT_UNI_highest_refined_percent_diff_abs,-0.146,-0.073,0.035,0.012,-0.018,-0.051,-0.116,-0.165,-0.021,0.08
INT_UNI_lowest_refined_percent_diff_abs,-0.156,-0.009,0.116,-0.041,-0.077,0.037,-0.152,-0.189,0.009,0.004
INT_UNI_refined_packing_efficiency,0.086,-0.177,-0.047,0.168,-0.072,0.083,-0.011,0.059,0.055,0.075
WYK_A_lowest_wyckoff,-0.189,0.007,-0.113,0.025,-0.083,-0.078,0.013,0.106,0.145,0.098
WYK_B_lowest_wyckoff,-0.189,0.007,-0.113,0.025,-0.083,-0.078,0.013,0.106,0.145,0.098
WYK_identical_lowest_wyckoff_count,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
WYK_A_sites_total,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
WYK_B_sites_total,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
WYK_A_multiplicity_total,-0.189,0.007,-0.113,0.025,-0.083,-0.078,0.013,0.106,0.145,0.098
WYK_B_multiplicity_total,-0.189,0.007,-0.113,0.025,-0.083,-0.078,0.013,0.106,0.145,0.098
ENV_A_shortest_dist_count,0.131,-0.067,0.108,0.079,-0.077,-0.034,0.069,-0.178,0.01,-0.011
ENV_B_shortest_dist_count,0.131,-0.062,0.133,0.086,0.059,0.058,-0.003,-0.036,-0.064,-0.106
ENV_A_avg_shortest_dist_count,0.131,-0.067,0.108,0.079,-0.077,-0.034,0.069,-0.178,0.01,-0.011
ENV_B_avg_shortest_dist_count,0.131,-0.062,0.133,0.086,0.059,0.058,-0.003,-0.036,-0.064,-0.106
ENV_A_shortest_tol_dist_count,0.152,-0.007,0.182,-0.093,-0.217,-0.177,0.231,0.03,-0.096,0.086
ENV_B_shortest_tol_dist_count,0.168,-0.099,0.077,0.035,0.057,-0.045,-0.015,-0.017,-0.055,0.106
ENV_A_avg_shortest_dist_within_tol_count,0.152,-0.007,0.182,-0.093,-0.217,-0.177,0.231,0.03,-0.096,0.086
ENV_B_avg_shortest_dist_within_tol_count,0.168,-0.099,0.077,0.035,0.057,-0.045,-0.015,-0.017,-0.055,0.106
ENV_A_second_by_first_shortest_dist,-0.07,-0.113,0.06,0.095,0.033,0.111,-0.122,0.011,-0.133,0.079
ENV_B_second_by_first_shortest_dist,-0.087,-0.022,0.197,-0.016,-0.115,0.077,0.0,0.132,-0.186,0.048
ENV_A_avg_second_by_first_shortest_dist,-0.07,-0.113,0.06,0.095,0.033,0.111,-0.122,0.011,-0.133,0.079
ENV_B_avg_second_by_first_shortest_dist,-0.087,-0.022,0.197,-0.016,-0.115,0.077,0.0,0.132,-0.186,0.048
ENV_A_second_shortest_dist_count,-0.064,-0.05,0.152,0.061,-0.018,-0.001,-0.146,0.041,-0.091,-0.121
ENV_B_second_shortest_dist_count,-0.074,-0.013,0.217,-0.003,-0.154,-0.13,-0.052,-0.012,-0.075,-0.042
ENV_A_avg_second_shortest_dist_count,-0.064,-0.05,0.152,0.061,-0.018,-0.001,-0.146,0.041,-0.091,-0.121
ENV_B_avg_second_shortest_dist_count,-0.074,-0.013,0.217,-0.003,-0.154,-0.13,-0.052,-0.012,-0.075,-0.042
ENV_A_homoatomic_dist_by_shortest_dist,-0.131,-0.126,-0.082,0.128,-0.068,0.044,-0.048,-0.05,-0.075,-0.017
ENV_B_homoatomic_dist_by_shortest_dist,-0.087,-0.086,0.127,-0.025,0.013,-0.156,-0.052,-0.013,0.115,0.003
ENV_A_avg_homoatomic_dist_by_shortest_dist,-0.131,-0.126,-0.082,0.128,-0.068,0.044,-0.048,-0.05,-0.075,-0.017
ENV_B_avg_homoatomic_dist_by_shortest_dist,-0.087,-0.086,0.127,-0.025,0.013,-0.156,-0.052,-0.013,0.115,0.003
ENV_A_count_at_A_shortest_dist,-0.01,0.138,0.241,-0.124,0.233,0.083,0.088,0.09,0.171,0.03
ENV_A_count_at_B_shortest_dist,0.115,-0.068,0.135,0.079,0.106,0.019,-0.097,-0.047,-0.051,-0.103
ENV_A_avg_count_at_A_shortest_dist,-0.01,0.138,0.241,-0.124,0.233,0.083,0.088,0.09,0.171,0.03
ENV_A_avg_count_at_B_shortest_dist,0.115,-0.068,0.135,0.079,0.106,0.019,-0.097,-0.047,-0.051,-0.103
ENV_B_count_at_A_shortest_dist,0.128,-0.094,0.053,0.102,-0.123,-0.05,0.047,-0.19,-0.026,-0.017
ENV_B_count_at_B_shortest_dist,0.01,0.042,-0.057,-0.003,-0.189,0.118,0.335,0.053,-0.024,0.027
ENV_B_avg_count_at_A_shortest_dist,0.128,-0.094,0.053,0.102,-0.123,-0.05,0.047,-0.19,-0.026,-0.017
ENV_B_avg_count_at_B_shortest_dist,0.01,0.042,-0.057,-0.003,-0.189,0.118,0.335,0.053,-0.024,0.027
CN_AVG_coordination_number,0.101,0.131,-0.03,0.01,-0.074,-0.162,-0.107,0.06,-0.022,-0.041
CN_AVG_A_atom_count,0.015,0.095,-0.107,0.147,-0.112,-0.078,-0.036,0.022,-0.007,-0.167
CN_AVG_B_atom_count,0.134,0.091,0.074,-0.148,0.013,-0.156,-0.12,0.065,-0.026,0.123
CN_AVG_polyhedron_volume,-0.041,0.173,0.06,0.182,0.023,-0.043,-0.051,0.102,-0.051,0.103
CN_AVG_central_atom_to_center_of_mass_dist,-0.134,0.175,0.004,-0.069,0.028,-0.017,-0.081,-0.079,-0.137,0.018
CN_AVG_number_of_edges,0.105,0.108,-0.076,-0.015,-0.063,-0.046,-0.115,0.007,-0.068,0.038
CN_AVG_number_of_faces,0.105,0.108,-0.076,-0.015,-0.063,-0.046,-0.115,0.007,-0.068,0.038
CN_AVG_shortest_distance_to_face,0.065,0.128,0.011,0.186,0.022,-0.015,-0.059,0.077,0.025,0.043
CN_AVG_shortest_distance_to_edge,-0.026,0.171,0.114,0.136,-0.13,-0.132,0.059,-0.072,0.236,-0.09
CN_AVG_volume_of_inscribed_sphere,0.021,0.116,0.038,0.224,0.026,0.007,-0.056,0.089,-0.008,0.063
CN_AVG_packing_efficiency,0.202,-0.016,-0.033,0.151,-0.0,0.028,-0.054,0.026,0.139,-0.119
CN_MIN_coordination_number,0.099,0.097,-0.064,-0.068,-0.128,0.005,-0.103,-0.13,0.023,0.06
CN_MIN_A_atom_count,0.023,0.167,0.006,-0.102,-0.209,0.016,-0.033,-0.15,0.002,-0.043
CN_MIN_B_atom_count,0.173,-0.033,-0.142,0.001,0.027,-0.011,-0.169,-0.061,0.044,0.185
CN_MIN_polyhedron_volume,-0.011,0.191,0.025,0.044,-0.066,0.134,-0.063,-0.108,-0.051,0.234
CN_MIN_central_atom_to_center_of_mass_dist,-0.13,0.163,-0.013,-0.062,0.008,-0.017,-0.061,-0.147,-0.062,-0.0
CN_MIN_number_of_edges,0.099,0.097,-0.064,-0.069,-0.129,0.004,-0.102,-0.132,0.026,0.056
CN_MIN_number_of_faces,0.099,0.097,-0.064,-0.069,-0.129,0.004,-0.102,-0.132,0.026,0.056
CN_MIN_shortest_distance_to_face,0.087,0.125,-0.023,0.103,-0.044,0.119,-0.095,-0.073,0.04,0.146
CN_MIN_shortest_distance_to_edge,-0.001,0.134,0.027,0.122,-0.159,0.023,-0.005,-0.188,0.223,0.047
CN_MIN_volume_of_inscribed_sphere,0.057,0.14,0.01,0.075,-0.055,0.218,-0.096,-0.091,-0.048,0.226
CN_MIN_packing_efficiency,0.203,-0.01,-0.014,0.101,-0.052,0.061,-0.071,-0.044,0.196,-0.098
CN_MAX_coordination_number,0.099,0.097,-0.064,-0.068,-0.128,0.005,-0.103,-0.13,0.023,0.06
CN_MAX_A_atom_count,0.011,0.051,-0.137,0.219,-0.053,-0.106,-0.026,0.075,-0.0,-0.19
CN_MAX_B_atom_count,0.099,0.135,0.156,-0.191,0.023,-0.179,-0.118,0.169,-0.146,0.135
CN_MAX_polyhedron_volume,-0.049,0.162,0.085,0.184,0.05,-0.101,-0.049,0.185,-0.092,0.071
CN_MAX_central_atom_to_center_of_mass_dist,-0.129,0.167,-0.003,-0.061,0.052,-0.026,-0.054,-0.041,-0.155,-0.03
CN_MAX_number_of_edges,0.102,0.113,-0.073,0.007,-0.01,-0.058,-0.135,0.11,-0.162,0.054
CN_MAX_number_of_faces,0.102,0.113,-0.073,0.007,-0.01,-0.058,-0.135,0.11,-0.162,0.054
CN_MAX_shortest_distance_to_face,0.05,0.132,0.038,0.189,0.048,-0.068,-0.049,0.15,-0.019,0.015
CN_MAX_shortest_distance_to_edge,-0.038,0.191,0.163,0.116,-0.112,-0.196,0.081,-0.003,0.195,-0.129
CN_MAX_volume_of_inscribed_sphere,0.003,0.112,0.064,0.223,0.044,-0.073,-0.036,0.149,-0.022,0.009
CN_MAX_packing_efficiency,0.198,-0.015,-0.037,0.167,0.029,0.021,-0.06,0.076,0.084,-0.108
