,Component_1 (15.264%),Component_2 (11.816%),Component_3 (4.555%),Component_4 (9.820%),Component_5 (4.671%),Component_6 (1.984%),Component_7 (2.285%),Component_8 (1.640%),Component_9 (2.899%),Component_10 (1.306%)
INT_distAA,-0.086,0.121,-0.047,-0.026,-0.01,-0.007,-0.009,-0.004,0.003,0.03
INT_distBB,-0.065,0.068,0.057,-0.073,0.025,0.003,0.041,-0.045,0.019,0.007
INT_distAB,-0.037,0.116,0.045,0.033,-0.045,-0.006,-0.029,0.062,0.056,-0.031
INT_Asize,-0.071,0.069,-0.006,0.06,-0.058,0.029,0.014,0.011,0.019,0.028
INT_Bsize,0.014,0.054,0.087,-0.107,-0.061,0.037,0.027,-0.063,0.015,-0.072
INT_Asize_by_Bsize,-0.067,0.018,-0.042,0.123,-0.008,0.025,-0.002,0.045,0.006,0.043
INT_distAA_by2_byAsize,-0.035,0.069,-0.05,-0.094,0.054,-0.039,-0.045,0.004,-0.033,-0.027
INT_distBB_by2_byBsize,-0.091,0.045,0.019,-0.024,0.067,-0.016,0.04,-0.021,0.011,0.049
INT_distAB_by2_byAsizebyBsize,0.041,0.056,0.018,0.088,0.089,-0.11,-0.128,0.194,0.068,-0.049
INT_Asize_ref,-0.02,0.165,-0.073,-0.02,0.052,-0.003,-0.001,-0.039,0.058,0.0
INT_Bsize_ref,-0.008,-0.103,0.133,0.055,-0.107,-0.002,-0.025,0.107,-0.022,-0.029
INT_percent_diff_A_by_100,0.019,0.103,-0.052,-0.046,0.105,-0.011,-0.013,-0.044,0.034,-0.055
INT_percent_diff_B_by_100,-0.02,-0.116,0.089,0.102,-0.065,-0.006,-0.031,0.126,-0.034,0.007
INT_distAA_minus_ref_diff,-0.087,-0.112,0.048,-0.014,-0.114,-0.014,-0.021,0.076,-0.104,0.054
INT_distBB_minus_ref_diff,-0.016,0.095,-0.054,-0.087,0.071,-0.016,0.039,-0.09,0.014,0.045
INT_distAB_minus_ref_diff,0.01,0.0,0.001,-0.006,-0.007,-0.035,-0.034,0.013,0.022,-0.061
INT_R_factor,-0.11,-0.007,0.028,-0.014,0.096,0.063,-0.009,0.0,-0.07,-0.136
INT_UNI_shortest_homoatomic_dist,-0.057,0.112,-0.022,-0.09,0.0,-0.034,0.026,-0.033,-0.025,0.064
INT_UNI_shortest_heteroatomic_dist,-0.037,0.116,0.045,0.033,-0.045,-0.006,-0.029,0.062,0.056,-0.031
INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,-0.116,-0.028,0.064,0.036,0.11,0.039,0.025,0.013,-0.082,-0.057
INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,0.041,0.056,0.018,0.088,0.089,-0.11,-0.128,0.194,0.068,-0.049
INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,0.01,0.0,0.001,-0.006,-0.007,-0.035,-0.034,0.013,0.022,-0.061
INT_UNI_highest_refined_percent_diff_abs,-0.11,0.004,-0.004,-0.065,0.039,0.022,0.029,-0.057,-0.083,-0.011
INT_UNI_lowest_refined_percent_diff_abs,-0.117,-0.017,0.045,-0.007,0.069,0.02,0.004,0.014,-0.118,-0.018
INT_UNI_refined_packing_efficiency,0.065,0.205,-0.111,-0.032,0.047,-0.042,-0.004,-0.037,0.05,-0.032
