Entry,Formula,Structure,A,B,INT_distAA,INT_distBB,INT_distAB,INT_Asize,INT_Bsize,INT_Asize_by_Bsize,INT_distAA_by2_byAsize,INT_distBB_by2_byBsize,INT_distAB_by2_byAsizebyBsize,INT_Asize_ref,INT_Bsize_ref,INT_percent_diff_A_by_100,INT_percent_diff_B_by_100,INT_distAA_minus_ref_diff,INT_distBB_minus_ref_diff,INT_distAB_minus_ref_diff,INT_R_factor,INT_UNI_shortest_homoatomic_dist,INT_UNI_shortest_heteroatomic_dist,INT_UNI_shortest_homoatomic_dist_by_2_by_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_atom_sizes,INT_UNI_shortest_homoatomic_dist_by_2_by_refined_atom_size,INT_UNI_shortest_heteroatomic_dist_by_sum_of_refined_atom_sizes,INT_UNI_highest_refined_percent_diff_abs,INT_UNI_lowest_refined_percent_diff_abs,INT_UNI_refined_packing_efficiency,WYK_A_lowest_wyckoff,WYK_B_lowest_wyckoff,WYK_identical_lowest_wyckoff_count,WYK_A_sites_total,WYK_B_sites_total,WYK_A_multiplicity_total,WYK_B_multiplicity_total,ENV_A_shortest_dist_count,ENV_B_shortest_dist_count,ENV_A_avg_shortest_dist_count,ENV_B_avg_shortest_dist_count,ENV_A_shortest_tol_dist_count,ENV_B_shortest_tol_dist_count,ENV_A_avg_shortest_dist_within_tol_count,ENV_B_avg_shortest_dist_within_tol_count,ENV_A_second_by_first_shortest_dist,ENV_B_second_by_first_shortest_dist,ENV_A_avg_second_by_first_shortest_dist,ENV_B_avg_second_by_first_shortest_dist,ENV_A_second_shortest_dist_count,ENV_B_second_shortest_dist_count,ENV_A_avg_second_shortest_dist_count,ENV_B_avg_second_shortest_dist_count,ENV_A_homoatomic_dist_by_shortest_dist,ENV_B_homoatomic_dist_by_shortest_dist,ENV_A_avg_homoatomic_dist_by_shortest_dist,ENV_B_avg_homoatomic_dist_by_shortest_dist,ENV_A_count_at_A_shortest_dist,ENV_A_count_at_B_shortest_dist,ENV_A_avg_count_at_A_shortest_dist,ENV_A_avg_count_at_B_shortest_dist,ENV_B_count_at_A_shortest_dist,ENV_B_count_at_B_shortest_dist,ENV_B_avg_count_at_A_shortest_dist,ENV_B_avg_count_at_B_shortest_dist,CN_AVG_coordination_number,CN_AVG_A_atom_count,CN_AVG_B_atom_count,CN_AVG_polyhedron_volume,CN_AVG_central_atom_to_center_of_mass_dist,CN_AVG_number_of_edges,CN_AVG_number_of_faces,CN_AVG_shortest_distance_to_face,CN_AVG_shortest_distance_to_edge,CN_AVG_volume_of_inscribed_sphere,CN_AVG_packing_efficiency,CN_MIN_coordination_number,CN_MIN_A_atom_count,CN_MIN_B_atom_count,CN_MIN_polyhedron_volume,CN_MIN_central_atom_to_center_of_mass_dist,CN_MIN_number_of_edges,CN_MIN_number_of_faces,CN_MIN_shortest_distance_to_face,CN_MIN_shortest_distance_to_edge,CN_MIN_volume_of_inscribed_sphere,CN_MIN_packing_efficiency,CN_MAX_coordination_number,CN_MAX_A_atom_count,CN_MAX_B_atom_count,CN_MAX_polyhedron_volume,CN_MAX_central_atom_to_center_of_mass_dist,CN_MAX_number_of_edges,CN_MAX_number_of_faces,CN_MAX_shortest_distance_to_face,CN_MAX_shortest_distance_to_edge,CN_MAX_volume_of_inscribed_sphere,CN_MAX_packing_efficiency,index_A,index_B,normalized_index_A,normalized_index_B,largest_index,smallest_index,avg_index,atomic_weight_weighted_A+B,atomic_weight_A/B,atomic_weight_A-B,period_A,period_B,group_A,group_B,group_A-B,Mendeleev_number_A,Mendeleev_number_B,Mendeleev_number_A-B,valencee_total_A,valencee_total_B,valencee_total_A-B,valencee_total_A+B,valencee_total_weighted_A+B,valencee_total_weighted_norm_A+B,unpaired_electrons_A,unpaired_electrons_B,unpaired_electrons_A-B,unpaired_electrons_A+B,unpaired_electrons_weighted_A+B,unpaired_electrons_weighted_norm_A+B,Gilman_A,Gilman_B,Gilman_A-B,Gilman_A+B,Gilman_weighted_A+B,Gilman_weighted_norm_A+B,Z_eff_A,Z_eff_B,Z_eff_A-B,Z_eff_A/B,Z_eff_max,Z_eff_min,Z_eff_avg,Z_eff_weighted_norm_A+B,ionization_energy_A,ionization_energy_B,ionization_energy_A-B,ionization_energy_A/B,ionization_energy_max,ionization_energy_min,ionization_energy_avg,ionization_energy_weighted_norm_A+B,coordination_number_A,coordination_number_B,coordination_number_A-B,ratio_closest_A,ratio_closest_B,ratio_closest_max,ratio_closest_min,ratio_closest_avg,polyhedron_distortion_A,polyhedron_distortion_B,polyhedron_distortion_max,polyhedron_distortion_min,polyhedron_distortion_avg,CIF_radius_A,CIF_radius_B,CIF_radius_A/B,CIF_radius_A-B,CIF_radius_avg,CIF_radius_weighted_norm_A+B,Pauling_radius_CN12_A,Pauling_radius_CN12_B,Pauling_radius_CN12_A/B,Pauling_radius_CN12_A-B,Pauling_radius_CN12_avg,Pauling_radius_CN12_weighted_norm_A+B,Pauling_EN_A,Pauling_EN_B,Pauling_EN_A-B,Pauling_EN_A/B,Pauling_EN_max,Pauling_EN_min,Pauling_EN_avg,Pauling_EN_weighted_norm_A+B,Martynov_Batsanov_EN_A,Martynov_Batsanov_EN_B,Martynov_Batsanov_EN_A-B,Martynov_Batsanov_EN_A/B,Martynov_Batsanov_EN_max,Martynov_Batsanov_EN_min,Martynov_Batsanov_EN_avg,Martynov_Batsanov_EN_weighted_norm_A+B,melting_point_K_A,melting_point_K_B,melting_point_K_A-B,melting_point_K_A/B,melting_point_K_max,melting_point_K_min,melting_point_K_avg,melting_point_K_weighted_norm_A+B,density_A,density_B,density_A-B,density_A/B,density_max,density_min,density_avg,density_weighted_norm_A+B,specific_heat_A,specific_heat_B,specific_heat_A-B,specific_heat_A/B,specific_heat_max,specific_heat_min,specific_heat_avg,specific_heat_weighted_norm_A+B,cohesive_energy_A,cohesive_energy_B,cohesive_energy_A-B,cohesive_energy_A/B,cohesive_energy_max,cohesive_energy_min,cohesive_energy_avg,cohesive_energy_weighted_norm_A+B,bulk_modulus_A,bulk_modulus_B,bulk_modulus_A-B,bulk_modulus_A/B,bulk_modulus_max,bulk_modulus_min,bulk_modulus_avg,bulk_modulus_weighted_norm_A+B
1815331,CoSi,FeSi,Co,Si,2.735,2.754,2.312,1.25,1.176,1.063,1.094,1.171,0.953,1.368,0.944,0.094,-0.197,0,0.314,0,0.048,2.735,2.312,1.094,0.953,1,1,0.197,0.094,0.646,4,4,2,1,1,4,4,1,1,1,1,4,4,4,4,1.013,1.013,1.013,1.013,3,3,3,3,1.183,1.191,1.183,1.191,0,1,0,1,1,0,1,0,13,6.5,6.5,40.382,0.062,33,22,1.78,1.858,23.668,0.586,13,6.5,6.5,40.382,0.062,33,22,1.78,1.858,23.668,0.586,13,6.5,6.5,40.382,0.062,33,22,1.78,1.858,23.668,0.586,1,1,0.5,0.5,1,1,1,58.933,2.098,30.848,4,3,9,14,-5,58,78,-20,9,4,5,13,9,4.5,3,2,1,5,3,1.5,4,4,0,8,4,2,3.046,2.321,0.725,1.312,3.046,2.321,2.684,1.523,7.881,8.152,-0.271,0.967,8.152,7.881,8.016,3.94,12,4,8,0.5,1,1,0.5,0.75,0.996,1,1,0.996,0.998,1.25,1.176,1.063,0.074,1.213,0.625,1.252,1.316,0.951,-0.064,1.284,0.626,1.88,1.9,-0.02,0.989,1.9,1.88,1.89,0.94,1.72,1.98,-0.26,0.869,1.98,1.72,1.85,0.86,1768.15,1683.15,85,1.051,1768.15,1683.15,1725.65,884.075,8.9,2.33,6.57,3.82,8.9,2.33,5.615,4.45,0.42,0.71,-0.29,0.592,0.71,0.42,0.565,0.21,4.39,4.63,-0.24,0.948,4.63,4.39,4.51,2.195,182,98,84,1.857,182,98,140,91
250979,ErNi,FeB-b,Er,Ni,3.519,2.431,2.794,1.734,1.246,1.392,1.015,0.976,0.938,1.578,1.216,-0.09,-0.024,0.103,0,0,0.009,2.431,2.794,0.976,0.938,1,1,0.09,0.024,0.615,4,4,2,1,1,4,4,1,2,1,2,6,2,6,2,1.011,1.149,1.011,1.149,1,1,1,1,1.259,1,1.259,1,0,0,0,0,1,2,1,2,13,8.5,4.5,78.11,0.078,33,22,2.21,2.266,48.839,0.617,13,8.5,4.5,78.11,0.078,33,22,2.21,2.266,48.839,0.617,13,8.5,4.5,78.11,0.078,33,22,2.21,2.266,48.839,0.617,1,1,0.5,0.5,1,1,1,167.259,2.85,108.566,6,4,3,10,-7,35,61,-26,14,10,4,24,14,7,2,2,0,4,2,1,3,3,0,6,3,1.5,4.018,2.996,1.022,1.341,4.018,2.996,3.507,2.009,6.108,7.64,-1.532,0.799,7.64,6.108,6.874,3.054,12,12,0,0.5,1,1,0.5,0.75,0.974,1,1,0.974,0.987,1.734,1.246,1.392,0.488,1.49,0.867,1.748,1.244,1.405,0.504,1.496,0.874,1.24,1.91,-0.67,0.649,1.91,1.24,1.575,0.62,1.2,1.76,-0.56,0.682,1.76,1.2,1.48,0.6,1802.15,1726.15,76,1.044,1802.15,1726.15,1764.15,901.075,9.07,8.9,0.17,1.019,9.07,8.9,8.985,4.535,0.17,0.44,-0.27,0.386,0.44,0.17,0.305,0.085,3.29,4.44,-1.15,0.741,4.44,3.29,3.865,1.645,44.4,177,-132.6,0.251,177,44.4,110.7,22.2
1248169,CeGa,TlI,Ce,Ga,3.71,3.255,2.969,1.819,1.243,1.463,1.02,1.309,0.97,1.341,1.628,-0.263,0.309,0.277,0,0,0.165,3.255,2.969,1.309,0.97,1,1,0.309,0.263,0.515,4,4,2,1,1,4,4,1,1,1,1,5,5,5,5,1.046,1.046,1.046,1.046,4,4,4,4,1.25,1.096,1.25,1.096,0,1,0,1,1,0,1,0,13,8.5,4.5,109.331,0.381,33,22,2.367,2.524,63.794,0.532,13,8.5,4.5,109.331,0.381,33,22,2.367,2.524,63.794,0.532,13,8.5,4.5,109.331,0.381,33,22,2.367,2.524,63.794,0.532,1,1,0.5,0.5,1,1,1,140.115,2.01,70.392,6,4,3,13,-10,15,74,-59,4,13,-9,17,4,2,1,1,0,2,1,0.5,3,3,0,6,3,1.5,3.774,2.655,1.119,1.421,3.774,2.655,3.214,1.887,5.539,5.999,-0.461,0.923,5.999,5.539,5.769,2.769,12,7,5,0.5,0.143,0.5,0.143,0.321,0.99,0.897,0.99,0.897,0.944,1.819,1.243,1.463,0.576,1.531,0.91,1.818,1.408,1.291,0.41,1.613,0.909,1.12,1.81,-0.69,0.619,1.81,1.12,1.465,0.56,1.1,1.7,-0.6,0.647,1.7,1.1,1.4,0.55,1071.15,302.95,768.2,3.536,1071.15,302.95,687.05,535.575,6.66,5.9,0.76,1.129,6.66,5.9,6.28,3.33,0.19,0.37,-0.18,0.514,0.37,0.19,0.28,0.095,4.32,2.81,1.51,1.537,4.32,2.81,3.565,2.16,21.5,56.9,-35.4,0.378,56.9,21.5,39.2,10.75
1818832,TmSb,NaCl,Tm,Sb,4.317,4.317,3.053,1.726,1.434,1.204,1.251,1.505,0.966,2.158,0.894,0.251,-0.376,0,0.586,0,0.204,4.317,3.053,1.251,0.966,1,1,0.376,0.251,0.793,4,4,2,1,1,4,4,6,6,6,6,6,6,6,6,1.414,1.414,1.414,1.414,12,12,12,12,1.414,1.414,1.414,1.414,0,6,0,6,6,0,6,0,10.5,7.5,3,94.852,0,18.75,12.5,2.308,2.494,66.686,0.654,6,3,3,37.939,0,12,8,1.762,2.158,22.936,0.605,6,9,3,113.823,0,21,14,2.49,2.606,81.269,0.67,1,1,0.5,0.5,1,1,1,168.934,1.387,47.174,6,5,3,15,-12,37,85,-48,15,15,0,30,15,7.5,1,3,-2,4,1,0.5,3,5,-2,8,3,1.5,3.921,3.984,-0.063,0.984,3.984,3.921,3.952,1.96,6.184,8.608,-2.424,0.718,8.608,6.184,7.396,3.092,12,6,6,0.5,0.5,0.5,0.5,0.5,0.974,0.868,0.974,0.868,0.921,1.726,1.434,1.204,0.292,1.58,0.863,1.743,1.59,1.096,0.153,1.666,0.872,1.25,2.05,-0.8,0.61,2.05,1.25,1.65,0.625,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1818.15,904.15,914,2.011,1818.15,904.15,1361.15,909.075,9.32,6.69,2.63,1.393,9.32,6.69,8.005,4.66,0.16,0.21,-0.05,0.762,0.21,0.16,0.185,0.08,2.42,2.75,-0.33,0.88,2.75,2.42,2.585,1.21,44.5,38.3,6.2,1.162,44.5,38.3,41.4,22.25
525429,YbSb,NaCl,Yb,Sb,4.298,4.298,3.039,1.939,1.434,1.352,1.108,1.499,0.901,2.149,0.89,0.108,-0.379,0,0.586,0,0.156,4.298,3.039,1.108,0.901,1,1,0.379,0.108,0.793,4,4,2,1,1,4,4,2,3,2,3,6,6,6,6,1,1,1,1,4,3,4,3,1.414,1.414,1.414,1.414,0,3,0,3,2,0,2,0,10.5,7.5,3,93.581,0,18.75,12.5,2.297,2.483,65.764,0.654,6,3,3,37.432,0,12,8,1.754,2.149,22.607,0.604,6,9,3,112.298,0,21,14,2.478,2.594,80.149,0.67,1,1,0.5,0.5,1,1,1,173.045,1.421,51.285,6,5,3,15,-12,39,85,-46,16,15,1,31,16,8,0,3,-3,3,0,0,3,5,-2,8,3,1.5,4.048,3.984,0.064,1.016,4.048,3.984,4.016,2.024,6.254,8.608,-2.354,0.727,8.608,6.254,7.431,3.127,12,6,6,1,0.5,1,0.5,0.75,1,0.868,1,0.868,0.934,1.939,1.434,1.352,0.505,1.686,0.97,1.933,1.59,1.216,0.343,1.762,0.966,1.1,2.05,-0.95,0.537,2.05,1.1,1.575,0.55,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1092.15,904.15,188,1.208,1092.15,904.15,998.15,546.075,6.97,6.69,0.28,1.042,6.97,6.69,6.83,3.485,0.15,0.21,-0.06,0.714,0.21,0.15,0.18,0.075,1.6,2.75,-1.15,0.582,2.75,1.6,2.175,0.8,30.5,38.3,-7.8,0.796,38.3,30.5,34.4,15.25
261024,HoSb,NaCl,Ho,Sb,4.335,4.335,3.065,1.745,1.434,1.217,1.242,1.512,0.964,2.168,0.897,0.242,-0.374,0,0.586,0,0.199,4.335,3.065,1.242,0.964,1,1,0.374,0.242,0.793,4,4,2,1,1,4,4,6,6,6,6,6,6,6,6,1.414,1.414,1.414,1.414,12,12,12,12,1.414,1.414,1.414,1.414,0,6,0,6,6,0,6,0,10.5,7.5,3,95.978,0,18.75,12.5,2.318,2.504,67.479,0.654,6,3,3,38.391,0,12,8,1.77,2.167,23.211,0.605,6,9,3,115.173,0,21,14,2.5,2.616,82.235,0.67,1,1,0.5,0.5,1,1,1,164.93,1.355,43.17,6,5,3,15,-12,33,85,-52,13,15,-2,28,13,6.5,3,3,0,6,3,1.5,3,5,-2,8,3,1.5,3.994,3.984,0.01,1.003,3.994,3.984,3.989,1.997,6.022,8.608,-2.587,0.699,8.608,6.022,7.315,3.011,12,6,6,0.5,0.5,0.5,0.5,0.5,0.975,0.868,0.975,0.868,0.922,1.745,1.434,1.217,0.311,1.59,0.872,1.761,1.59,1.108,0.171,1.676,0.88,1.23,2.05,-0.82,0.6,2.05,1.23,1.64,0.615,1.2,2.14,-0.94,0.561,2.14,1.2,1.67,0.6,1747.15,904.15,843,1.932,1747.15,904.15,1325.65,873.575,8.8,6.69,2.11,1.315,8.8,6.69,7.745,4.4,0.16,0.21,-0.05,0.762,0.21,0.16,0.185,0.08,3.14,2.75,0.39,1.142,3.14,2.75,2.945,1.57,40.2,38.3,1.9,1.05,40.2,38.3,39.25,20.1
533539,CoGa,CsCl,Co,Ga,2.883,2.883,2.497,1.25,1.243,1.006,1.153,1.16,1.002,1.442,1.055,0.153,-0.151,0,0.268,0,0.046,2.883,2.497,1.153,1.002,1,1,0.153,0.151,0.729,1,1,2,1,1,1,1,8,8,8,8,8,8,8,8,1.155,1.155,1.155,1.155,6,6,6,6,1.155,1.155,1.155,1.155,0,8,0,8,8,0,8,0,14,7,7,47.95,0,36,24,2.122,2.039,40.03,0.834,14,7,7,47.95,0,36,24,2.122,2.039,40.03,0.834,14,7,7,47.95,0,36,24,2.122,2.039,40.03,0.834,1,1,0.5,0.5,1,1,1,58.933,0.845,-10.79,4,4,9,13,-4,58,74,-16,9,13,-4,22,9,4.5,3,1,2,4,3,1.5,4,3,1,7,4,2,3.046,2.655,0.391,1.147,3.046,2.655,2.85,1.523,7.881,5.999,1.882,1.314,7.881,5.999,6.94,3.94,12,7,5,0.5,0.143,0.5,0.143,0.321,0.996,0.897,0.996,0.897,0.946,1.25,1.243,1.006,0.007,1.247,0.625,1.252,1.408,0.889,-0.156,1.33,0.626,1.88,1.81,0.07,1.039,1.88,1.81,1.845,0.94,1.72,1.7,0.02,1.012,1.72,1.7,1.71,0.86,1768.15,302.95,1465.2,5.836,1768.15,302.95,1035.55,884.075,8.9,5.9,3,1.508,8.9,5.9,7.4,4.45,0.42,0.37,0.05,1.135,0.42,0.37,0.395,0.21,4.39,2.81,1.58,1.562,4.39,2.81,3.6,2.195,182,56.9,125.1,3.199,182,56.9,119.45,91
528119,NdPt,FeB-b,Nd,Pt,3.739,2.647,2.902,1.813,1.387,1.307,1.031,0.954,0.907,1.578,1.324,-0.129,-0.046,0.156,0,0,0.019,2.647,2.902,0.954,0.907,1,1,0.129,0.046,0.56,4,4,2,1,1,4,4,1,2,1,2,2,2,2,2,1.014,1.096,1.014,1.096,1,1,1,1,1.288,1,1.288,1,0,0,0,0,1,2,1,2,12.75,8.25,4.5,90.437,0.082,32.25,21.5,2.286,2.331,54.234,0.586,12,7.5,4.5,81.105,0.08,30,20,2.149,2.222,42.998,0.538,12,8.5,4.5,93.548,0.086,33,22,2.332,2.367,57.98,0.602,1,1,0.5,0.5,1,1,1,144.242,0.739,-50.842,6,6,3,10,-7,19,63,-44,6,10,-4,16,6,3,4,1,3,5,4,2,3,3,0,6,3,1.5,3.822,4.883,-1.061,0.783,4.883,3.822,4.352,1.911,5.525,8.959,-3.434,0.617,8.959,5.525,7.242,2.762,12,12,0,0.5,1,1,0.5,0.75,0.992,1,1,0.992,0.996,1.813,1.387,1.307,0.426,1.6,0.906,1.818,1.385,1.313,0.433,1.602,0.909,1.14,2.28,-1.14,0.5,2.28,1.14,1.71,0.57,1.2,1.91,-0.71,0.628,1.91,1.2,1.555,0.6,1289.15,2045.15,-756,0.63,2045.15,1289.15,1667.15,644.575,7,21.4,-14.4,0.327,21.4,7,14.2,3.5,0.19,0.13,0.06,1.462,0.19,0.13,0.16,0.095,3.4,5.84,-2.44,0.582,5.84,3.4,4.62,1.7,31.8,276,-244.2,0.115,276,31.8,153.9,15.9
525415,YbSb,NaCl,Yb,Sb,4.299,4.299,3.04,1.939,1.434,1.352,1.109,1.499,0.901,2.15,0.89,0.109,-0.379,0,0.586,0,0.155,4.299,3.04,1.109,0.901,1,1,0.379,0.109,0.793,4,4,2,1,1,4,4,6,6,6,6,6,6,6,6,1.414,1.414,1.414,1.414,12,12,12,12,1.414,1.414,1.414,1.414,0,6,0,6,6,0,6,0,10.5,7.5,3,93.648,0,18.75,12.5,2.298,2.484,65.842,0.654,6,3,3,37.459,0,12,8,1.755,2.15,22.648,0.605,6,9,3,112.378,0,21,14,2.48,2.595,80.239,0.67,1,1,0.5,0.5,1,1,1,173.045,1.421,51.285,6,5,3,15,-12,39,85,-46,16,15,1,31,16,8,0,3,-3,3,0,0,3,5,-2,8,3,1.5,4.048,3.984,0.064,1.016,4.048,3.984,4.016,2.024,6.254,8.608,-2.354,0.727,8.608,6.254,7.431,3.127,12,6,6,1,0.5,1,0.5,0.75,1,0.868,1,0.868,0.934,1.939,1.434,1.352,0.505,1.686,0.97,1.933,1.59,1.216,0.343,1.762,0.966,1.1,2.05,-0.95,0.537,2.05,1.1,1.575,0.55,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1092.15,904.15,188,1.208,1092.15,904.15,998.15,546.075,6.97,6.69,0.28,1.042,6.97,6.69,6.83,3.485,0.15,0.21,-0.06,0.714,0.21,0.15,0.18,0.075,1.6,2.75,-1.15,0.582,2.75,1.6,2.175,0.8,30.5,38.3,-7.8,0.796,38.3,30.5,34.4,15.25
261018,PrSb,NaCl,Pr,Sb,4.498,4.498,3.18,1.82,1.434,1.269,1.236,1.568,0.977,2.249,0.931,0.236,-0.351,0,0.586,0,0.179,4.498,3.18,1.236,0.977,1,1,0.351,0.236,0.793,4,4,2,1,1,4,4,6,6,6,6,6,6,6,6,1.414,1.414,1.414,1.414,12,12,12,12,1.414,1.414,1.414,1.414,0,6,0,6,6,0,6,0,10.5,7.5,3,107.236,0,18.75,12.5,2.404,2.598,75.354,0.654,6,3,3,42.894,0,12,8,1.836,2.248,25.919,0.604,6,9,3,128.684,0,21,14,2.594,2.714,91.832,0.67,1,1,0.5,0.5,1,1,1,140.908,1.157,19.148,6,5,3,15,-12,17,85,-68,5,15,-10,20,5,2.5,3,3,0,6,3,1.5,3,5,-2,8,3,1.5,3.8,3.984,-0.184,0.954,3.984,3.8,3.892,1.9,5.473,8.608,-3.135,0.636,8.608,5.473,7.041,2.736,12,6,6,0.5,0.5,0.5,0.5,0.5,0.991,0.868,0.991,0.868,0.93,1.82,1.434,1.269,0.386,1.627,0.91,1.824,1.59,1.147,0.234,1.707,0.912,1.13,2.05,-0.92,0.551,2.05,1.13,1.59,0.565,1.1,2.14,-1.04,0.514,2.14,1.1,1.62,0.55,1204.15,904.15,300,1.332,1204.15,904.15,1054.15,602.075,6.77,6.69,0.08,1.012,6.77,6.69,6.73,3.385,0.19,0.21,-0.02,0.905,0.21,0.19,0.2,0.095,3.7,2.75,0.95,1.345,3.7,2.75,3.225,1.85,28.8,38.3,-9.5,0.752,38.3,28.8,33.55,14.4
